No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
16,Lifecycle,Use onMounted for DOM access,DOM 在 onMounted 中准备就绪,onMounted 用于 DOM 操作,直接在 setup 中访问 DOM,onMounted(() => el.value.focus()),el.value.focus() in setup,High,https://vuejs.org/api/composition-api-lifecycle.html
17,Lifecycle,Clean up in onUnmounted,删除监听器和订阅,onUnmounted 进行清理,让听众依附,onUnmounted(() => window.removeEventListener()),No cleanup on unmount,High,
18,Lifecycle,Avoid onBeforeMount for data,使用 onMounted 或 setup 来获取数据,获取 onMounted 或 setup,在 onBeforeMount 中获取,onMounted(async () => await fetchData()),onBeforeMount(async () => await fetchData()),Low,
19,Components,Use single-file components,将模板脚本风格保持在一起,组件的 .vue 文件,单独的模板/脚本文件,Component.vue with all parts,Component.js + Component.html,Low,
20,Components,Use PascalCase for components,一致的组件命名,导入和模板中的 PascalCase,脚本中的烤肉串大小写,<MyComponent/>,<my-component/>,Low,https://vuejs.org/style-guide/rules-strongly-recommended.html
21,Components,Prefer composition over mixins,可组合项取代 mixins,共享逻辑的可组合项,Mixins 用于代码重用,const { data } = useApi(),mixins: [apiMixin],Medium,
22,Composables,Name composables with use prefix,可组合函数的约定,useFetch useAuth useForm,getData 或 fetchApi,export function useFetch(),export function fetchData(),Medium,https://vuejs.org/guide/reusability/composables.html
23,Composables,Return refs from composables,解构时保持响应性,返回参考值,返回失去响应性的响应性对象,return { data: ref(null) },return reactive({ data: null }),Medium,
24,Composables,Accept ref or value params,使用 toValue 进行灵活输入,参数的 toValue() 或 unref(),仅接受引用或仅接受值,const val = toValue(maybeRef),const val = maybeRef.value,Low,https://vuejs.org/api/reactivity-utilities.html#tovalue
25,Templates,Use v-bind shorthand,更清晰的模板语法,:prop 代替 v-bind:prop,完整的 v-bind 语法,"<div :class=""cls"">","<div v-bind:class=""cls"">",Low,
26,Templates,Use v-on shorthand,更清晰的事件绑定,@event 而不是 v-on:event,完整的 v-on 语法,"<button @click=""handler"">","<button v-on:click=""handler"">",Low,
27,Templates,Avoid v-if with v-for,v-if 具有更高优先级会导致问题,包裹在模板或计算过滤器中,v-if 与 v-for 位于同一元素上,<template v-for><div v-if>,<div v-for v-if>,High,https://vuejs.org/style-guide/rules-essential.html#avoid-v-if-with-v-for
28,Templates,Use key with v-for,正确的列表呈现和更新,每个项目的唯一密钥,索引作为动态列表的键,"v-for=""item in items"" :key=""item.id""","v-for=""(item, i) in items"" :key=""i""",High,
29,State,Use Pinia for global state,Vue 3 的官方状态管理,Pinia 存储共享状态,用于新项目的 Vuex,const store = useCounterStore(),Vuex with mutations,Medium,https://pinia.vuejs.org/
30,State,Define stores with defineStore,组合 API 样式商店,使用 defineStore 设置商店,复杂状态的选项存储,"defineStore('counter', () => {})","defineStore('counter', { state })",Low,
31,State,Use storeToRefs for destructuring,解构时保持响应性,storeToRefs(商店),直接解构,const { count } = storeToRefs(store),const { count } = store,High,https://pinia.vuejs.org/core-concepts/#destructuring-from-a-store
32,Routing,Use useRouter and useRoute,组合 API 路由器访问,useRouter() 在设置中使用 useRoute(),这个.$router 这个.$route,const router = useRouter(),this.$router.push(),Medium,https://router.vuejs.org/guide/advanced/composition-api.html
33,Routing,Lazy load route components,路线的代码分割,() => import() 组件,所有路由的静态导入,component: () => import('./Page.vue'),component: Page,Medium,https://router.vuejs.org/guide/advanced/lazy-loading.html
34,Routing,Use navigation guards,保护路由并处理重定向,beforeEach 用于身份验证检查,检查每个组件中的身份验证,router.beforeEach((to) => {}),Check auth in onMounted,Medium,
35,Performance,Use v-once for static content,跳过静态元素的重新渲染,v-once 表示永不改变的内容,v-once 动态内容,<div v-once>{{ staticText }}</div>,<div v-once>{{ dynamicText }}</div>,Low,https://vuejs.org/api/built-in-directives.html#v-once
36,Performance,Use v-memo for expensive lists,记住列表项,带有依赖数组的 v-memo,始终重新渲染整个列表,"<div v-for v-memo=""[item.id]"">",<div v-for> without memo,Medium,https://vuejs.org/api/built-in-directives.html#v-memo
37,Performance,Use shallowReactive for flat objects,避免深度响应式开销,平坦状态的 shallowReactive,对简单对象的响应式,shallowReactive({ count: 0 }),reactive({ count: 0 }),Low,
38,Performance,Use defineAsyncComponent,延迟加载重型组件,为模态对话框定义 AsyncComponent,急切地导入所有组件,defineAsyncComponent(() => import()),import HeavyComponent from,Medium,https://vuejs.org/guide/components/async.html
39,TypeScript,Use generic components,类型安全的可重用组件,泛型与 defineComponent,组件中的任何类型,"<script setup lang=""ts"" generic=""T"">",<script setup> without types,Medium,https://vuejs.org/guide/typescript/composition-api.html
40,TypeScript,Type template refs,DOM 引用的正确输入,参考<HTMLInputElement>（空）,没有类型的 ref(null),const input = ref<HTMLInputElement>(null),const input = ref(null),Medium,
41,TypeScript,Use PropType for complex props,输入复杂的 prop 类型,PropType<User> 用于对象属性,没有类型的对象,type: Object as PropType<User>,type: Object,Medium,
42,Testing,Use Vue Test Utils,官方测试库,组件浅安装,手动 DOM 测试,import { mount } from '@vue/test-utils',document.createElement,Medium,https://test-utils.vuejs.org/
43,Testing,Test component behavior,关注输入和输出,测试 props 发出和渲染的输出,测试内部实现,expect(wrapper.text()).toContain(),expect(wrapper.vm.internalState),Medium,
44,Forms,Use v-model modifiers,内置输入处理,.lazy .number .trim 修饰符,手动输入解析,"<input v-model.number=""age"">","<input v-model=""age""> then parse",Low,https://vuejs.org/guide/essentials/forms.html#modifiers
45,Forms,Use VeeValidate or FormKit,表单验证库,VeeValidate 适用于复杂表单,手动验证逻辑,useField useForm from vee-validate,Custom validation in each input,Medium,
46,Accessibility,Use semantic elements,模板中正确的 HTML 元素,按钮导航主要用途,div 适合一切,<button @click>,<div @click>,High,
47,Accessibility,Bind aria attributes dynamically,保持 ARIA 与状态同步,":aria-expanded=""isOpen""",静态 ARIA 值,":aria-expanded=""menuOpen""","aria-expanded=""true""",Medium,
48,SSR,Use Nuxt for SSR,功能齐全的 SSR 框架,适用于 SSR 应用程序的 Nuxt 3,手动 SSR 设置,npx nuxi init my-app,Custom SSR configuration,Medium,https://nuxt.com/
49,SSR,Handle hydration mismatches,客户端/服务器内容必须匹配,ClientOnly 用于仅限浏览器的内容,不同的内容服务器/客户端,<ClientOnly><BrowserWidget/></ClientOnly>,<div>{{ Date.now() }}</div>,High,
