Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Camera,Explicit Position and lookAt,始终设置明确的相机位置并在第一次渲染之前调用 camera.lookAt()。原点向下 -Z 的默认相机使任意坐标处的主体不可见或很小。,设置 camera.position.set()和 camera.lookAt()以在第一次渲染之前对主体进行构图,将相机保持在默认位置 (0 0 0)，不注视 — 拍摄对象可能位于相机后面或在显微镜下,"camera.position.set(0, 1.5, 5); camera.lookAt(new THREE.Vector3(0, 0, 0));",//未设置位置或外观 - y:2 处的拍摄对象位于默认相机视图的后面或上方,Medium,https://threejs.org/docs/#api/en/cameras/Camera.lookAt
Camera,OrbitControls vs GSAP Camera Rig,将 OrbitControls 用于模型查看器和用户需要自由查看的探索场景。使用 GSAP 滚动驱动摄像机装置进行产品展示或讲故事，其中摄像机路径必须保持固定。,将相机控制方法与场景的用户体验意图相匹配,使用 OrbitControls 进行脚本化显示 - 用户可以在显示完成之前离开轨道,"//滚动讲故事——GSAP 控制路径：gsap.to(camera.position, { z: 2,scrollTrigger: {trigger: '.scene',scrub: 1 } }); // 自由查看模型查看器 — OrbitControls: constcontrols = new THREE.OrbitControls(camera, renderer.domElement); control.enableDamping = true; // 在 animate()中调用 controls.update()","//脚本化产品展示：constcontrols = new THREE.OrbitControls(camera, renderer.domElement); // 用户可以在动画完成之前旋转离开",High,https://threejs.org/docs/#examples/en/controls/OrbitControls
Geometry,Never Create Geometry Per Frame,在 animate() 中创建新的几何体会在每一帧分配一个新的 GPU 缓冲区，并在几秒钟内耗尽 VRAM。在循环开始之前创建所有几何体一次。如果每帧位置必须改变，请使用属性突变。,在动画循环之前创建所有几何体；如果需要，就地改变 BufferAttribute 数组,在动画循环内调用任何新的 XxxGeometry() 构造函数,"const geo = new THREE.SphereGeometry(1, 32, 32); //创建一次 const mesh = new THREE.Mesh(geo, mat);scene.add(mesh); const 时钟 = new THREE.Clock();函数 animate() { requestAnimationFrame(animate); mesh.rotation.y +=clock.getDelta() * 0.8; // 增量时间 renderer.render(场景, 相机); }","function animate() { requestAnimationFrame(animate); const geo = new THREE.BoxGeometry(1, 1, 1); //每帧新的 GPU 缓冲区 — VRAM 耗尽}",Critical,https://threejs.org/docs/#api/en/core/BufferGeometry
Geometry,Share Geometry Across Meshes,当多个对象共享相同形状时，创建一个几何实例并将其传递给每个网格。每个网格都有自己的变换和材质，同时共享一个 GPU 缓冲区。,创建一个几何体并将相同的引用传递给每个网格构造函数,在循环内为每个对象创建一个单独的相同几何体,"const geo = new THREE.BoxGeometry(1, 1, 1); //一个 GPU 缓冲区 for (let i = 0; i < 200; i++) { const m = new THREE.Mesh(geo, mat); m.position.set(Math.random() * 10, 0, Math.random() * 10);scene.add(m); }","for (let i = 0; i < 200; i++) { const geo = new THREE.BoxGeometry(1, 1, 1); //200 个独立的 GPU 缓冲区 scene.add(new THREE.Mesh(geo, mat)); }",Critical,https://threejs.org/docs/#api/en/core/BufferGeometry
Geometry,dispose on Scene Removal,从场景中移除对象时，为每个纹理贴图调用 geometry.dispose()、material.dispose()和 texture.dispose()。 Three.js 永远不会自动释放 GPU 资源——它们一直保留在 VRAM 中，直到显式释放为止。,在调用 scene.remove() 之前处理几何体 + 材质 + 每个纹理贴图,单独调用 scene.remove() 而不进行任何 dispose 调用,function removeMesh(mesh) { scene.remove(mesh); mesh.geometry.dispose(); if (mesh.material.map) mesh.material.map.dispose(); if (mesh.material.normalMap) mesh.material.normalMap.dispose(); mesh.material.dispose(); },scene.remove(mesh); //几何体和所有纹理贴图永远保留在 GPU VRAM 中,Critical,https://threejs.org/docs/#api/en/core/BufferGeometry.dispose
Geometry,Segment Count Budget,使用达到所需轮廓质量的最小分段数。英雄对象：32–64 段。背景对象：8-16。粒子替身：6-8。对背景几何体的高依赖会浪费 GPU 绘制调用，而明显的好处为零。,根据场景中每个对象的视觉优先级应用分层分段预算,默认每个球体和圆柱体都有 64 个以上的段，无论其作用如何,"const bgSphere = new THREE.SphereGeometry(0.5, 8, 8); //背景 const HeroSphere = new THREE.SphereGeometry(1, 64, 64); // 前台产品","const particleSphere = new THREE.SphereGeometry(0.1, 64, 64); //64 个分段 × 1000 个粒子 = 大量透支",Medium,https://threejs.org/docs/#api/en/geometries/SphereGeometry
Geometry,BufferGeometry for Custom Vertex Data,对于任何自定义形状，请使用带有 setAttribute('position' ...) 的 BufferGeometry 和 Float32Array。遗留的 THREE.Geometry 类在 r125 中被删除，并在 r128 中抛出 ReferenceError 。,将 THREE.BufferGeometry 与 Float32Array 位置属性一起用于自定义顶点数据,引用或实例化删除的 THREE.Geometry 类,"const geo = new THREE.BufferGeometry(); geo.setAttribute('position', new THREE.BufferAttribute(new Float32Array(vertices), 3)); geo.setAttribute('normal', new THREE.BufferAttribute(new Float32Array(normals), 3));","const geo = new THREE.Geometry(); geo.vertices.push(new THREE.Vector3(0, 0, 0)); //ReferenceError：r128 中未定义几何图形",High,https://threejs.org/docs/#api/en/core/BufferGeometry
Materials,MeshBasicMaterial vs MeshStandardMaterial,MeshBasicMaterial 会忽略所有灯光，并且成本显着降低 - 将其用于 UI 覆盖 HUD 和纯色装饰元素。 MeshStandardMaterial 是 PBR 精确的并且需要灯光。当 BasicMaterial 就足够时，切勿使用 StandardMaterial。,对任何不需要光照的物体使用 MeshBasicMaterial；对物理对象使用 MeshStandardMaterial,将 MeshStandardMaterial 应用于从不接收光线的平面 UI 元素 - 灯光仍然为它们运行,"const uiMat = new THREE.MeshBasicMaterial({ color: 0xffffff }); //无照明成本 const physMat = new THREE.MeshStandardMaterial({ 颜色: 0x4f46e5, 粗糙度: 0.4, 金属度: 0.6 });",const mat = new THREE.MeshStandardMaterial({ color: 0xffffff }); //在 2D HUD 卡上 — 光照计算运行时没有任何视觉效果,Medium,https://threejs.org/docs/#api/en/materials/MeshStandardMaterial
Materials,Share Material Instances,在具有相同属性的所有网格中共享一个材质实例。仅当各个网格确实需要不同的属性值时才调用 mat.clone()。重复材质会浪费 GPU VRAM。,为具有相同视觉属性的所有网格分配相同的材质引用,在循环内为看起来相同的对象创建新材质,"const mat = new THREE.MeshStandardMaterial({ color: 0x4f46e5, roughness: 0.5 }); meshA.material = mat; meshB.material = mat; meshC.material = mat; //一种 GPU 材质",for (const m of meshes) { m.material = new THREE.MeshStandardMaterial({ color: 0x4f46e5 }); } //N 个冗余 GPU 材质,High,https://threejs.org/docs/#api/en/materials/Material
Materials,Dispose Textures Explicitly,在大多数 Three.js 场景中，纹理是 GPU VRAM 的最大消耗者。切换场景或删除对象时调用 texture.dispose() — Three.js 不会自动垃圾收集 GPU 资源。,跟踪所有加载的纹理，并在场景拆卸或对象移除期间对每个纹理调用 dispose(),无需任何清理路径即可加载纹理 — 它们在整个页面生命周期内都保留在 VRAM 中,const tex = new THREE.TextureLoader().load('img.jpg'); mesh.material.map = tex; //拆卸时： tex.dispose(); mesh.material.dispose();,const tex = new THREE.TextureLoader().load('img.jpg'); scene.remove(mesh); //tex 占用 GPU VRAM 直到页面重新加载,High,https://threejs.org/docs/#api/en/textures/Texture.dispose
Lighting,Ambient Plus Directional Minimum,任何使用 MeshStandardMaterial 或 MeshPhongMaterial 的场景至少需要 1 个 AmbientLight（填充）和 1 个 DirectionalLight（着色方向）。如果没有这两个对象都渲染为纯黑色 - 材质就在那里，但没有光线到达它。,每当使用 PBR 或 Phong 材质时，添加用于填充的环境光和用于着色的定向光,使用 MeshStandardMaterial 而不向场景添加任何灯光,"scene.add(new THREE.AmbientLight(0xffffff, 0.4)); const dirLight = new THREE.DirectionalLight(0xffffff, 1.0); dirLight.position.set(5, 10, 7.5); scene.add(dirLight);","const mesh = new THREE.Mesh(geo, new THREE.MeshStandardMaterial({ color: 0x4f46e5 })); scene.add(mesh); //呈现全黑——场景中没有灯光",Critical,https://threejs.org/docs/#api/en/lights/DirectionalLight
Lighting,Enable shadowMap Before castShadow,renderer.shadowMap.enabled = true 必须在任何 castShadow 或 receiveShadow 标志之前设置。如果没有它，则永远不会分配阴影贴图，并且所有阴影标志都会被默默地忽略。,首先设置 renderer.shadowMap.enabled = true 然后在灯光和网格上设置 castShadow 和 receiveShadow,在灯光或网格上设置 castShadow 而不启用 renderer.shadowMap.enabled - 阴影永远不会渲染,renderer.shadowMap.enabled = true; renderer.shadowMap.type = THREE.PCFSoftShadowMap; dirLight.castShadow = true; dirLight.shadow.mapSize.width = 2048; dirLight.shadow.mapSize.height = 2048; heroMesh.castShadow = true; ground.receiveShadow = true;,dirLight.castShadow = true; heroMesh.castShadow = true; //renderer.shadowMap.enabled 从不设置 — 阴影不会默默渲染,High,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.shadowMap
Lighting,Selective Shadow Casting,阴影贴图渲染每帧都会从灯光的角度重新绘制整个场景。仅在主定向光上启用 castShadow，仅在英雄网格物体和地平面上启用 receiveShadow。,仅在主光和最重要的网格上启用阴影,对场景中的每个对象（包括粒子）启用 castShadow 和 receiveShadow,renderer.shadowMap.enabled = true; renderer.shadowMap.type = THREE.PCFSoftShadowMap; dirLight.castShadow = true; heroMesh.castShadow = true; ground.receiveShadow = true; //粒子和背景网格：没有阴影标志,for (const m of allMeshes) { m.castShadow = true; m.receiveShadow = true; } //阴影贴图通过粒子系统 - 昂贵且没有可见的增益,High,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.shadowMap
Lighting,Skip Lights for MeshBasicMaterial,MeshBasicMaterial 完全忽略所有场景灯光。仅添加灯光来照亮 BasicMaterial 对象会浪费每一帧上的光传递，可见效果为零。,当场景中的每种材质都是 MeshBasicMaterial 时，完全忽略灯光,将 AmbientLight 和 DirectionalLight 添加到仅使用 MeshBasicMaterial 的场景,"//场景仅使用 MeshBasicMaterial — 不需要灯光 const mat = new THREE.MeshBasicMaterial({ color: 0x00ffff }); const mesh = new THREE.Mesh(geo, mat);scene.add(mesh); // 根据定义，MeshBasicMaterial 始终完全照亮","scene.add(new THREE.AmbientLight(0xffffff, 1.0)); //浪费的每帧光路 — BasicMaterial 完全忽略它",Low,https://threejs.org/docs/#api/en/materials/MeshBasicMaterial
Raycasting,Single Shared Raycaster,在所有事件处理程序之外创建一个 Raycaster 实例。将鼠标坐标存储在 pointermove 中（便宜）。在 animate() 循环内一起调用 setFromCamera 和 intersectObjects — 每帧调用一次，而不是每个鼠标事件调用一次。,创建一个光线投射器；将鼠标存储在 pointermove 中；在 animate() 内调用 setFromCamera + intersectObjects,在 mousemove 处理程序中创建一个新的 THREE.Raycaster() 或在事件侦听器中调用 setFromCamera,"const raycaster = new THREE.Raycaster(); const mouse = new THREE.Vector2(); canvas.addEventListener('pointermove', e => { //仅存储坐标 — 此处不进行光线投射 mouse.x = (e.clientX / canvas.clientWidth) * 2 - 1; mouse.y = -(e.clientY / canvas.clientHeight) * 2 + 1; }); // setFromCamera 和 intersectObjects 在 animate() 中每帧运行一次","window.addEventListener('mousemove', e => { const rc = new THREE.Raycaster(); //每个事件的新分配 rc.setFromCamera(mouse, camera); rc.intersectObjects(目标，true); // 每秒发射 200 次以上 });",Critical,https://threejs.org/docs/#api/en/core/Raycaster
Raycasting,NDC Mouse Coordinates,光线投射需要鼠标处于标准化设备坐标：X 从 -1（左）到 +1（右），Y 从 +1（上）到 -1（下）。 Y 轴相对于屏幕空间是反转的。 Y 上缺失的否定会导致所有光线投射错过或击中错误的对象。,应用完整的 NDC 公式 - 包括 Y 轴上的负数,忘记取消 Y — 光线投射似乎有效，但会击中垂直镜像的对象,mouse.x = (e.clientX / canvas.clientWidth) * 2 - 1; mouse.y = -(e.clientY / canvas.clientHeight) * 2 + 1; //Y 反转,mouse.x = (e.clientX / canvas.clientWidth) * 2 - 1; mouse.y = (e.clientY / canvas.clientHeight) * 2 - 1; //BUG：Y 没有被否定——光线投射是镜像的,Critical,https://threejs.org/docs/#api/en/core/Raycaster.setFromCamera
Raycasting,setFromCamera and intersectObjects in animate,在 animate() 循环中调用 raycaster.setFromCamera(mouse camera) ，然后调用 raycaster.intersectObjects(targets true) 。 setFromCamera 必须在每帧的 intersectObjects 之前出现 - 没有它，光线投射器将使用陈旧的光线方向。,调用 setFromCamera，然后在每个 animate() 帧内按顺序 intersectObjects,调用 intersectObjects 而不先调用 setFromCamera - 光线投射器使用陈旧或零光线,"function animate() { requestAnimationFrame(animate); raycaster.setFromCamera(mouse, camera); //首先更新光线方向 const hit = raycaster.intersectObjects(targets, true); // 然后测试交叉点 if (hits.length > 0) { document.body.style.cursor = 'pointer'; } else { document.body.style.cursor = 'auto';渲染器.渲染（场景，相机）； }","function animate() { requestAnimationFrame(animate); const hits = raycaster.intersectObjects(targets, true); //BUG：setFromCamera 从未被调用 — 过时的光线 — 命中始终为空 renderer.render(scene, camera); }",Critical,https://threejs.org/docs/#api/en/core/Raycaster
Raycasting,Recursive Flag for Groups and GLTF,测试 Groups 或 GLTF 加载模型时，将 true 作为第二个参数传递给 intersectObjects。几何体存在于子 Mesh 对象上 - 没有 recursive:true 父组被测试但没有几何体并且命中始终为空。,对组或任何加载的模型使用 intersectObjects(targets true),针对没有递归标志的父组进行光线投射,"const hits = raycaster.intersectObjects(scene.children, true); //捕获所有后代网格物体",const hits = raycaster.intersectObjects([modelGroup]); //递归默认为 false — 错过所有子级,High,https://threejs.org/docs/#api/en/core/Raycaster.intersectObjects
Raycasting,Cursor Feedback on Hover,当找到交叉点时设置 document.body.style.cursor = 'pointer' 并在未找到交叉点时重置为 'auto'。如果没有光标反馈，用户就无法发现 3D 对象是交互式的。,将光标更新为点击时的指针；在同一动画循环块中未命中时重置为自动,运行光线投射并读取命中，而无需更新光标样式,if (hits.length > 0) { document.body.style.cursor = 'pointer'; } else { document.body.style.cursor = 'auto'; },"raycaster.setFromCamera(mouse, camera); raycaster.intersectObjects(targets, true); //忽略点击 - 光标永远不会改变 - 对象感觉非交互式",Medium,https://developer.mozilla.org/en-US/docs/Web/CSS/cursor
Animation,requestAnimationFrame Loop Only,使用 requestAnimationFrame 或 renderer.setAnimationLoop() 专门驱动渲染循环。切勿使用 setInterval 或 setTimeout - 它们不会与显示刷新率同步，并且在选项卡隐藏时继续运行，耗尽电池电量。,使用 requestAnimationFrame 或 renderer.setAnimationLoop() 作为唯一的渲染循环驱动程序,使用 setInterval 或 setTimeout 进行渲染计时,"function animate() { requestAnimationFrame(animate); renderer.render(scene, camera); } animate();","setInterval(() => renderer.render(scene, camera), 16); //不显示同步；即使选项卡隐藏，也能全速运行",Critical,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.setAnimationLoop
Animation,THREE.Clock for Delta Time,对所有基于时间的运动使用 THREE.Clock 和 clock.getDelta()。像 += 0.01 这样的硬编码增量在 120Hz 显示器上以 2 倍速度运行，并且当帧在负载下下降时以不可预测的速度运行。关键：每个 animate() 帧精确调用一次 getDelta() 并将结果存储在本地 dt 变量中。 getDelta() 在每次调用时重置内部时钟 - 同一帧中的第二次调用始终返回 ~0，默默地破坏使用它的任何动画块。,在 animate()顶部调用一次 clock.getDelta()；将结果存储在 dt 中；在该框架中的任何地方重用 dt,每帧或在从 animate() 调用的帮助程序内多次调用 clock.getDelta(),"const clock = new THREE.Clock(); function animate() { requestAnimationFrame(animate); const dt = clock.getDelta(); //称为 ONCE — 在 mesh.rotation.y += dt * 0.8 下重用 dt；粒子.旋转.y += dt * 0.1; // 重用 dt，而不是第二个 getDelta() renderer.render(scene, camera); }",function animate() { requestAnimationFrame(animate); mesh.rotation.y += 0.01; //0.01 rad/帧 — 120Hz 上的运行速度比 60Hz 上快 2 倍},High,https://threejs.org/docs/#api/en/core/Clock
Animation,Lerp for Smooth Pointer Follow,每帧使用 value += (target - value) * alpha 平滑地插值到移动目标。 0.03-0.1 的 alpha 可以为相机跟随指针跟踪和悬停缩放效果产生有机缓动，而无需 GSAP。,应用 lerp 公式，每帧具有较小的 alpha，以实现平滑的有机运动,将值直接捕捉到目标，产生即时的震动跳跃,//在 animate() 中：cameraTargetX = mouse.x * 3;相机.位置.x += (cameraTargetX - 相机.位置.x) * 0.05;相机.位置.y += (cameraTargetY - 相机.位置.y) * 0.05;相机.lookAt(场景.位置);,//在 animate() 中：camera.position.x = mouse.x * 3; // 即时捕捉 — 刺耳且无缓动,Medium,https://threejs.org/docs/#api/en/math/MathUtils.lerp
Animation,GSAP for Multi-Step Sequences,将 GSAP 时间线用于任何具有两个以上连续步骤的动画或滚动链接的摄像机路径。 GSAP 时间线可以暂停、反转和清理——比布尔状态机更易于维护。,将 GSAP 时间线用于具有两个以上步骤的序列和滚动驱动的动画,使用布尔标志和手动帧计数器实现多步序列,"const tl = gsap.timeline({ defaults: { ease: 'power2.out' } }); tl.from(mesh.position, { y: -3, duration: 1 }) .to(mesh.rotation, { y: Math.PI, duration: 1 }, '-=0.3') .to(camera.position, { z: 2, duration: 1.5 });",let step = 0; let t = 0; function animate() { if (step === 0 && (t += 0.01) >= 1) step = 1; } //超过 3 个步骤就变得难以管理,High,https://gsap.com/docs/v3/GSAP/Timeline/
Animation,Pause Render Loop on Tab Hidden,使用 renderer.setAnimationLoop() 作为循环驱动程序，这样您就可以传递 null 来暂停并传递一个函数来恢复。在隐藏选项卡中连续渲染会浪费 CPU GPU 和电池，对用户没有任何好处。,使用 renderer.setAnimationLoop(animate) 驱动循环；传递 null 以在可见性更改时暂停,使用内部 requestAnimationFrame 驱动，并且在隐藏选项卡时永远不会停止循环,"renderer.setAnimationLoop(animate); //使用 setAnimationLoop 作为驱动程序——而不是在 animate 函数 animate() 中使用 requestAnimationFrame { const dt = clock.getDelta();渲染器.渲染（场景，相机）； } document.addEventListener('visibilitychange', () => { if (document.hidden) renderer.setAnimationLoop(null); else renderer.setAnimationLoop(animate); });","function animate() { requestAnimationFrame(animate); //自引用 RAF 无法在外部停止 renderer.render(scene, camera); } 动画（）； // 在后台选项卡中永远运行 - 耗尽电池",High,https://developer.mozilla.org/en-US/docs/Web/API/Page_Visibility_API
GSAP,Load GSAP Before Scene Script,在场景脚本之前从其自己的 CDN 脚本标记加载 GSAP。在捆绑器项目中通过 npm 进行安装并导入。 GSAP 是一个与 Three.js 完全独立的库——切勿尝试从 Three.js 包中导入它。,在场景脚本之前加载 GSAP CDN；或 npm install gsap 并单独导入,从三个导入 gsap 或期望它在没有单独加载的情况下定义,"<!-- CDN：在场景脚本之前加载 GSAP --> <script src=""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js""></script> <!-- 捆绑器： --> // 从 'gsap' 导入 gsap; 从 'gsap/ScrollTrigger' 导入 { ScrollTrigger };",import gsap from 'three'; //未定义 — GSAP 与 Three.js 无关,Critical,https://gsap.com/docs/v3/Installation
GSAP,Register ScrollTrigger Before Use,在脚本顶部的任何 scrollTrigger 配置对象之前调用一次 gsap.registerPlugin(ScrollTrigger) 。如果没有注册，ScrollTrigger 名称是未定义的，并且补间会立即抛出。,使用 scrollTrigger 调用 gsap.registerPlugin(ScrollTrigger) 作为任何 gsap.to/from/timeline 之前的第一行,在 gsap.to() 调用中包含 scrollTrigger 配置，无需先注册插件,"gsap.registerPlugin(ScrollTrigger); gsap.to(camera.position, { z: 2, scrollTrigger: { trigger: '.hero-section', scrub: 1 } });","gsap.to(mesh.position, { scrollTrigger: { trigger: '.section', scrub: true } }); //类型错误：ScrollTrigger 不是构造函数 — 未注册",Critical,https://gsap.com/docs/v3/Plugins/ScrollTrigger/
GSAP,Tween Three.js Properties Directly,GSAP 可以补间任何数字 JavaScript 属性，包括 mesh.position.x、mesh.rotation.y 和 material.opacity。不需要包装器或适配器。注意：对于补间材质.opacity，材质必须在补间开始之前设置透明：true。,将 Three.js 对象属性直接传递给 gsap.to();在补间不透明度之前设置透明：true,使用普通代理对象，然后每帧手动将值复制到 Three.js 属性,"gsap.to(mesh.rotation, { y: Math.PI * 2, duration: 2, ease: 'power1.inOut' }); mesh.material.transparent = true; //补间不透明度之前需要 gsap.to(mesh.material, { opacity: 0,uration: 1 });","const tw = { v: 0 }; gsap.to(tw, { v: Math.PI * 2, onUpdate: () => mesh.rotation.y = tw.v }); //不必要的代理包装器",Medium,https://gsap.com/docs/v3/GSAP/gsap.to()
