No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
17,Typography,Line height,使用适当的行高以提高可读性,正文文本的领先放松,默认紧线高度,leading-relaxed (1.625),leading-none or leading-tight,Medium,https://tailwindcss.com/docs/line-height
18,Typography,Font size scale,使用一致的文本大小比例,文本-sm 文本基 文本-lg 文本-xl,任意字体大小,text-lg,text-[17px],Low,https://tailwindcss.com/docs/font-size
19,Typography,Text truncation,优雅地处理长文本,截断或线夹-*,溢出破坏布局,line-clamp-2,No overflow handling,Medium,https://tailwindcss.com/docs/text-overflow
20,Colors,Opacity utilities,使用颜色不透明度实用程序,背景-黑色/50 文本-白色/80,单独的不透明度等级,bg-black/50,bg-black opacity-50,Low,https://tailwindcss.com/docs/background-color
21,Colors,Dark mode,支持暗黑模式，带有 dark: 前缀,深色：bg-gray-900 深色：文本-白色,不支持暗黑模式,dark:bg-gray-900,Only light theme,Medium,https://tailwindcss.com/docs/dark-mode
22,Colors,Semantic colors,在配置中使用语义颜色命名,主要次要危险成功,组件中的通用颜色名称,bg-primary,bg-blue-500 everywhere,Medium,
23,Spacing,Consistent spacing scale,一致使用 Tailwind 间距比例,p-4 m-6 间隙-8,任意像素值,p-4 (1rem),p-[15px],Low,https://tailwindcss.com/docs/customizing-spacing
24,Spacing,Negative margins,谨慎使用重叠效果,-mt-4 用于重叠元素,布局固定的负边距,-mt-8 for card overlap,-m-2 to fix spacing issues,Medium,
25,Spacing,Space between,对垂直列表使用 space-y-*,flex/grid 列上的 space-y-4,每个孩子的保证金,space-y-4,Each child has mb-4,Low,https://tailwindcss.com/docs/space
26,Forms,Focus states,始终显示焦点指示器,焦点：ring-2 焦点：ring-blue-500,删除焦点轮廓,focus:ring-2 focus:ring-offset-2,focus:outline-none (no replacement),High,
27,Forms,Input sizing,一致的输入尺寸,h-10 px-3 用于输入,输入高度不一致,h-10 w-full px-3,Various heights per input,Medium,
28,Forms,Disabled states,清除禁用样式,禁用：opacity-50 禁用：不允许光标,无禁用指示,disabled:opacity-50,Same style as enabled,Medium,
29,Forms,Placeholder styling,适当设置占位符文本的样式,占位符：text-gray-400,深色占位符文本,placeholder:text-gray-400,Default dark placeholder,Low,
30,Responsive,Mobile-first approach,从移动样式开始并添加断点,默认手机 + md: lg: xl:,桌面优先方法,text-sm md:text-base,text-base max-md:text-sm,Medium,https://tailwindcss.com/docs/responsive-design
31,Responsive,Breakpoint testing,在标准断点处测试,320 375 768 1024 1280 1536,仅在开发设备上测试,Test all breakpoints,Single device testing,High,
32,Responsive,Hidden/shown utilities,控制每个断点的可见性,隐藏 MD：块,每个断点的内容不同,hidden md:flex,Separate mobile/desktop components,Low,https://tailwindcss.com/docs/display
33,Buttons,Button sizing,按钮尺寸一致,px-4 py-2 或 px-6 py-3,按钮尺寸不一致,px-4 py-2 text-sm,Various padding per button,Medium,
34,Buttons,Touch targets,移动设备上的触摸目标最小为 44px,移动设备上的 min-h-[44px],手机上的小按钮,min-h-[44px] min-w-[44px],h-8 w-8 on mobile,High,
35,Buttons,Loading states,显示加载反馈,禁用 + 微调器图标,加载期间可点击,<Button disabled><Spinner/></Button>,Button without loading state,High,
36,Buttons,Icon buttons,可访问的纯图标按钮,图标按钮上的 aria-label,没有标签的图标按钮,<button aria-label='Close'><XIcon/></button>,<button><XIcon/></button>,High,
37,Cards,Card structure,卡片样式一致,圆形-lg 阴影-md p-6,卡片样式不一致,rounded-2xl shadow-lg p-6,Mixed card styling,Low,
38,Cards,Card hover states,互动卡应该有悬停反馈,悬停：阴影-lg 过渡-阴影,不能将鼠标悬停在可点击的卡片上,hover:shadow-xl transition-shadow,Static cards that are clickable,Medium,
39,Cards,Card spacing,一致的内部卡间距,space-y-4 用于卡片内容,内部间距不一致,space-y-4 or p-6,Mixed mb-2 mb-4 mb-6,Low,
40,Accessibility,Screen reader text,为屏幕阅读器提供上下文,sr-仅适用于隐藏标签,缺少图标的上下文,<span class='sr-only'>Close menu</span>,No label for icon button,High,https://tailwindcss.com/docs/screen-readers
41,Accessibility,Focus visible,仅为键盘用户显示焦点,焦点可见：ring-2,关注所有互动,focus-visible:ring-2,focus:ring-2 (shows on click too),Medium,
42,Accessibility,Reduced motion,尊重用户动作偏好,运动减少：动画无,忽略运动偏好,motion-reduce:transition-none,No reduced motion support,High,https://tailwindcss.com/docs/hover-focus-and-other-states#prefers-reduced-motion
43,Performance,Configure content paths,Tailwind 需要知道类在哪里使用,在配置中使用“内容”数组,使用已弃用的“清除”选项 (v2),"content: ['./src/**/*.{js,ts,jsx,tsx}']",purge: [...],High,https://tailwindcss.com/docs/content-configuration
44,Performance,JIT mode,使用 JIT 实现更快的构建和更小的捆绑包,JIT 启用（v3 中默认）,完整 CSS 正在开发中,Tailwind v3 defaults,Tailwind v2 without JIT,Medium,
45,Performance,Avoid @apply bloat,谨慎使用@apply,HTML 中的直接实用程序,大量使用@apply,class='px-4 py-2 rounded',@apply px-4 py-2 rounded;,Low,https://tailwindcss.com/docs/reusing-styles
46,Plugins,Official plugins,使用官方 Tailwind 插件,@tailwindcss/表单排版纵横比,定制实施,@tailwindcss/forms,Custom form reset CSS,Medium,https://tailwindcss.com/docs/plugins
47,Plugins,Custom utilities,为重复模式创建实用程序,配置中的自定义实用程序,重复任意值,Custom shadow utility,"shadow-[0_4px_20px_rgba(0,0,0,0.1)] everywhere",Medium,
48,Layout,Container Queries,使用 @container 实现基于组件的响应,使用@container 和@lg：等。,组件内部的媒体查询,@container @lg:grid-cols-2,@media (min-width: ...) inside component,Medium,https://github.com/tailwindlabs/tailwindcss-container-queries
49,Interactivity,Group and Peer,基于父母/兄弟姐妹状态的风格,组悬停同行检查,JS 用于简单的状态交互,group-hover:text-blue-500,onMouseEnter={() => setHover(true)},Low,https://tailwindcss.com/docs/hover-focus-and-other-states#styling-based-on-parent-state
50,Customization,Arbitrary Values,使用 [] 表示一次性值,w-[350px] 满足特定需求,创建一次性配置,top-[117px] (if strictly needed),style={{ top: '117px' }},Low,https://tailwindcss.com/docs/adding-custom-styles#using-arbitrary-values
51,Colors,Theme color variables,在 Tailwind 主题中定义颜色并直接使用,bg-主要文本-成功边框-cta,bg-[var(--color-primary)] 文本-[var(--color-success)],bg-primary,bg-[var(--color-primary)],Medium,https://tailwindcss.com/docs/customizing-colors
52,Colors,Use bg-linear-to-* for gradients,Tailwind v4 使用 bg-linear-to-* 语法进行渐变,bg 线性至 r bg 线性至 b,bg-gradient-to-*（在 v4 中已弃用）,bg-linear-to-r from-blue-500 to-purple-500,bg-gradient-to-r from-blue-500 to-purple-500,Medium,https://tailwindcss.com/docs/background-image
53,Layout,Use shrink-0 shorthand,flex-shrink-0 的较短类名,收缩-0 收缩,弹性收缩-0 弹性收缩,shrink-0,flex-shrink-0,Low,https://tailwindcss.com/docs/flex-shrink
54,Layout,Use size-* for square dimensions,相同宽度和高度的单一实用程序,尺码 4 尺码 8 尺码 12,正方形的单独 h-* w-*,size-6,h-6 w-6,Low,https://tailwindcss.com/docs/size
55,Images,SVG explicit dimensions,向 SVG 添加宽度/高度属性，以防止在 CSS 加载之前布局发生变化,<svg class='size-6' width='24' height='24'>,没有明确尺寸的 SVG,<svg class='size-6' width='24' height='24'>,<svg class='size-6'>,High,
