No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
27,Slots,Check slot content with $$slots,条件槽渲染,$$slots.name 用于条件渲染,始终渲染槽包装器,"{#if $$slots.footer}<slot name=""footer""/>{/if}","<div><slot name=""footer""/></div>",Low,
28,Styling,Use scoped styles by default,样式范围仅限于组件,<style> 用于组件样式,组件的全局样式,:global() only when needed,<style> all global,Medium,https://svelte.dev/docs/svelte-components#style
29,Styling,Use :global() sparingly,需要时转义范围,:global 用于第三方样式,适合所有风格的全球性,:global(.external-lib),<style> without scoping,Medium,
30,Styling,Use CSS variables for theming,动态造型,CSS 自定义属性,主题的内联样式,"style=""--color: {color}""","style=""color: {color}""",Low,
31,Transitions,Use built-in transitions,精简过渡指令,过渡：淡入淡出以实现简单效果,手动 CSS 过渡,<div transition:fade>,<div class:fade={visible}>,Low,https://svelte.dev/docs/element-directives#transition-fn
32,Transitions,Use in: and out: separately,不同的进入/退出动画,输入：飞出：淡出不对称,两者的转换相同,<div in:fly out:fade>,<div transition:fly>,Low,
33,Transitions,Add local modifier,防止祖先触发,过渡：淡入淡出|局部,列表的全局转换,<div transition:slide|local>,<div transition:slide>,Medium,
34,Actions,Use actions for DOM behavior,可重用的 DOM 逻辑,use:action 增强 DOM,每次使用的 onMount,<div use:clickOutside>,onMount(() => setupClickOutside(el)),Medium,https://svelte.dev/docs/element-directives#use-action
35,Actions,Return update and destroy,操作的生命周期方法,返回 { 更新，销毁 },仅初始设置,"return { update(params) {}, destroy() {} }",return destroy only,Medium,
36,Actions,Pass parameters to actions,配置操作行为,使用：action={params},硬编码的动作行为,<div use:tooltip={options}>,<div use:tooltip>,Low,
37,Logic,Use {#if} for conditionals,模板条件语句,{#if} {:else if} {:else},表达式中的三元,{#如果条件}...{:else}...{/if},{cond ? a : b} for complex,Low,https://svelte.dev/docs/logic-blocks#if
38,Logic,Use {#each} for lists,列表渲染,{#each} 带钥匙,表达式中的映射,{#每个项目作为项目（item.id）},{items.map(i => `<div>${i}</div>`)},Medium,
39,Logic,Always use keys in {#each},正确的列表调节,(item.id) 唯一键,索引作为键或无键,{#每个项目作为项目（item.id）},{#每个项目作为项目，i (i)},High,
40,Logic,Use {#await} for promises,处理异步状态,{#await} 用于加载/错误状态,手动 Promise 处理,{#await promise}...{:then}...{:catch},{#如果正在加载}...{#如果错误},Medium,https://svelte.dev/docs/logic-blocks#await
41,SvelteKit,Use +page.svelte for routes,基于文件的路由,+page.svelte 用于路由组件,自定义路由设置,routes/about/+page.svelte,routes/About.svelte,Medium,https://kit.svelte.dev/docs/routing
42,SvelteKit,Use +page.js for data loading,渲染前加载数据,+page.js 中的加载函数,onMount 获取数据,export function load() {},onMount(() => fetchData()),High,https://kit.svelte.dev/docs/load
43,SvelteKit,Use +page.server.js for server-only,服务器端数据加载,+page.server.js 用于敏感数据,+page.js 用于 API 密钥,+page.server.js with DB access,+page.js with DB access,High,
44,SvelteKit,Use form actions,服务器端表单处理,+page.server.js 操作,表单的 API 路由,export const actions = { default },fetch('/api/submit'),Medium,https://kit.svelte.dev/docs/form-actions
45,SvelteKit,Use $app/stores for app state,$页面$导航$已更新,$page for current page data,手动 URL 解析,import { page } from '$app/stores',window.location.pathname,Medium,https://kit.svelte.dev/docs/modules#$app-stores
46,Performance,Use {#key} for forced re-render,重置组件状态,新实例的 {#key id},手动销毁/创建,{#key item.id}<Component/>{/key},on:change={() => component = null},Low,https://svelte.dev/docs/logic-blocks#key
47,Performance,Avoid unnecessary reactivity,并非所有东西都需要 $：,$: only for side effects,$: for simple assignments,$: if (x) console.log(x),$: y = x (when y = x works),Low,
48,Performance,Use immutable compiler option,跳过相等性检查,不可变：对于大型列表为真,所有组件的默认值,<svelte:options immutable/>,Default without immutable,Low,
49,TypeScript,"Use lang=""ts"" in script",TypeScript 支持,<脚本语言=“ts”>,用于类型化项目的 JavaScript,"<script lang=""ts"">",<script> with JSDoc,Medium,https://svelte.dev/docs/typescript
50,TypeScript,Type props with interface,显式的 prop 类型,类型的接口 $$Props,无类型道具,interface $$Props { name: string },export let name,Medium,
51,TypeScript,Type events with createEventDispatcher,类型安全事件,createEventDispatcher<事件>(),无类型调度,createEventDispatcher<{ save: Data }>(),createEventDispatcher(),Medium,
52,Accessibility,Use semantic elements,模板中正确的 HTML,按钮导航主要适当,div 适合一切,<button on:click>,<div on:click>,High,
53,Accessibility,Add aria to dynamic content,可访问的状态更改,aria-live 更新,静默动态更新,"<div aria-live=""polite"">{message}</div>",<div>{message}</div>,Medium,
