No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
14,State,Use useState for local state,简单的组件状态,useState 用于 UI 状态,类组件状态,"const [count, setCount] = useState(0)",this.state = { count: 0 },Medium,
15,State,Use useReducer for complex state,复杂的状态逻辑,useReducer 进行相关状态,相关值的多个 useState,useReducer(reducer initialState),5+ useState calls,Medium,
16,State,Use context sparingly,全局状态的上下文,主题身份验证区域设置的上下文,频繁更改数据的上下文,ThemeContext for app theme,Context for list item data,Medium,
17,State,Consider Zustand or Redux,外部状态管理,Zustand 适合简单 Redux 适合复杂,useState 用于全局状态,create((set) => ({ })),Prop drilling global state,Medium,
18,Lists,Use FlatList for long lists,虚拟列表渲染,包含 50 多个项目的 FlatList,带地图的滚动视图,<FlatList data={items} />,<ScrollView>{items.map()}</ScrollView>,High,https://reactnative.dev/docs/flatlist
19,Lists,Provide keyExtractor,列表项的唯一键,具有稳定 ID 的 keyExtractor,索引作为键,keyExtractor={(item) => item.id},"keyExtractor={(_, index) => index}",High,
20,Lists,Optimize renderItem,记住列表项组件,React.memo 用于列表项,内联渲染函数,renderItem={({ item }) => <MemoizedItem item={item} />},renderItem={({ item }) => <View>...</View>},High,
21,Lists,Use getItemLayout for fixed height,跳过性能测量,当高度已知时 getItemLayout,固定物品的动态测量,"getItemLayout={(_, index) => ({ length: 50, offset: 50 * index, index })}",No getItemLayout for fixed height,Medium,
22,Lists,Implement windowSize,控制渲染窗口,较小的窗口大小以节省内存,大型列表的默认窗口大小,windowSize={5},windowSize={21} for huge lists,Medium,
23,Performance,Use React.memo,防止不必要的重新渲染,纯组件的备注,没有记忆,export default memo(MyComponent),export default MyComponent,Medium,
24,Performance,Use useCallback for handlers,稳定的函数引用,props 的 useCallback,每次渲染都有新功能,"useCallback(() => {}, [deps])",() => handlePress(),Medium,
25,Performance,Use useMemo for expensive ops,缓存昂贵的计算,useMemo 用于繁重的计算,在每次渲染时重复计算,"useMemo(() => expensive(), [deps])",const result = expensive(),Medium,
26,Performance,Avoid anonymous functions in JSX,防止重新渲染,命名处理程序或 useCallback,内联箭头函数,onPress={handlePress},onPress={() => doSomething()},Medium,
27,Performance,Use Hermes engine,改进的启动和内存,在构建中启用 Hermes,用于新项目的 JavaScriptCore,hermes_enabled: true,hermes_enabled: false,Medium,https://reactnative.dev/docs/hermes
28,Images,Use expo-image,React Native 的现代高性能图像组件,使用 expo-image 进行缓存、模糊和性能,对繁重的列表或未维护的库使用默认图像,<Image source={url} cachePolicy='memory-disk' /> (expo-image),<FastImage source={url} />,Medium,https://docs.expo.dev/versions/latest/sdk/image/
29,Images,Specify image dimensions,防止布局变化,远程图像的宽度和高度,网络图像没有尺寸,<Image style={{ width: 100 height: 100 }} />,<Image source={{ uri }} /> no size,High,
30,Images,Use resizeMode,控制图像缩放,resizeMode 覆盖包含,拉伸图像,"resizeMode=""cover""",No resizeMode,Low,
31,Forms,Use controlled inputs,国家控制的表单字段,值 + onChangeText,不受控制的输入,<TextInput value={text} onChangeText={setText} />,<TextInput defaultValue={text} />,Medium,
32,Forms,Handle keyboard,管理键盘可见性,键盘回避视图,键盘隐藏的内容,"<KeyboardAvoidingView behavior=""padding"">",No keyboard handling,High,https://reactnative.dev/docs/keyboardavoidingview
33,Forms,Use proper keyboard types,适合输入的键盘,输入类型的 keyboardType,所有人的默认键盘,"keyboardType=""email-address""","keyboardType=""default"" for email",Low,
34,Touch,Use Pressable,现代触摸处理,可按下进行触摸交互,新代码的 TouchableOpacity,<Pressable onPress={} />,<TouchableOpacity onPress={} />,Low,https://reactnative.dev/docs/pressable
35,Touch,Provide touch feedback,媒体视觉反馈,波纹或不透明度变化,媒体没有反馈,android_ripple={{ color: 'gray' }},No press feedback,Medium,
36,Touch,Set hitSlop for small targets,增加触摸面积,hitSlop 用于图标和小按钮,微小的触摸目标,hitSlop={{ top: 10 bottom: 10 }},44x44 with no hitSlop,Medium,
37,Animation,Use Reanimated,高性能动画,React 本机复活,复杂的动画 API,useSharedValue useAnimatedStyle,Animated.timing for gesture,Medium,https://docs.swmansion.com/react-native-reanimated/
38,Animation,Run on UI thread,用于平滑动画的工作集,在 UI 线程上运行动画,JS 线程动画,runOnUI(() => {}),Animated on JS thread,High,
39,Animation,Use gesture handler,原生手势识别,React 本机手势处理程序,基于 JS 的手势处理,<GestureDetector>,<View onTouchMove={} />,Medium,https://docs.swmansion.com/react-native-gesture-handler/
40,Async,Handle loading states,显示加载指示器,加载期间的 ActivityIndicator,加载期间出现空屏,{isLoading ? <ActivityIndicator /> : <Content />},No loading state,Medium,
41,Async,Handle errors gracefully,错误边界和回退,失败请求的错误 UI,错误时崩溃,{error ? <ErrorView /> : <Content />},No error handling,High,
42,Async,Cancel async operations,卸载时清理,AbortController 或清理,异步造成的内存泄漏,useEffect cleanup,No cleanup for subscriptions,High,
43,Accessibility,Add accessibility labels,描述 UI 元素,所有交互的可访问性标签,缺少标签,"accessibilityLabel=""Submit form""",<Pressable> without label,High,https://reactnative.dev/docs/accessibility
44,Accessibility,Use accessibility roles,语义意义,元素的 accessibilityRole,错误的角色,"accessibilityRole=""button""",No role for button,Medium,
45,Accessibility,Support screen readers,使用 TalkBack/VoiceOver 进行测试,使用屏幕阅读器进行测试,跳过可访问性测试,Regular TalkBack testing,No screen reader testing,High,
46,Testing,Use React Native Testing Library,元件测试,渲染和触发事件,酶或手动测试,render(<Component />),shallow(<Component />),Medium,https://callstack.github.io/react-native-testing-library/
47,Testing,Test on real devices,真实设备行为,在 iOS 和 Android 设备上进行测试,仅模拟器,Device testing in CI,Simulator only testing,High,
48,Testing,Use Detox for E2E,端到端测试,关键流程的排毒,手动 E2E 测试,detox test,Manual testing only,Medium,https://wix.github.io/Detox/
49,Native,Use native modules carefully,桥有架空,批量原生调用,频繁过桥,Batch updates,Call native on every keystroke,High,
50,Native,Use Expo when possible,简化开发,标准功能博览会,用于简单应用程序的裸 RN,expo install package,react-native link package,Low,https://docs.expo.dev/
51,Native,Handle permissions,正确请求权限,检查并请求权限,假设已授予权限,PermissionsAndroid.request(),Access without permission check,High,https://reactnative.dev/docs/permissionsandroid
