No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
13,Comparison Table Focus,"comparison, table, versus, compare, features","1. Hero (problem statement), 2. Comparison matrix (you vs competitors), 3. Feature deep-dive, 4. Winner CTA",After comparison table (highlighted row) + Bottom,您的产品列突出显示（强调背景或绿色）。竞争对手中立。绿色复选标记。,表格行悬停突出显示、功能复选标记动画、粘性比较标题,展示与竞争对手相比的价值。转化率提高 35%。要实事求是。如果有利的话，请包括价格。
14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription","1. Hero (value proposition), 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky CTA in nav + Bottom,突出显示流行计划（品牌颜色边框/背景）。免费：灰色。企业：黑暗/高级。,价格切换月/年动画、卡片悬停升降、FAQ 手风琴平滑打开,每年折扣 20-30%。推荐中层（最受欢迎的徽章）。在常见问题解答中解决异议。
15,App Store Style Landing,"app, mobile, download, store, install","1. Hero with device mockup, 2. Screenshots carousel, 3. Features with icons, 4. Reviews/ratings, 5. Download CTAs",Download buttons prominent (App Store + Play Store) throughout,深色/浅色匹配应用商店的感觉。星级评定为黄金级。带有设备框架的屏幕截图。,设备模型旋转、屏幕截图滑块、星级动画、下载按钮脉冲,显示真实的屏幕截图。包括评级（4.5+ 星）。手机二维码。特定于平台的 CTA。
16,FAQ/Documentation Landing,"faq, documentation, help, support, questions, faq/documentation, knowledge base","1. Hero with search bar, 2. Popular categories, 3. FAQ accordion, 4. Contact/support CTA",Search bar prominent + Contact CTA for unresolved questions,干净，可读性高。最小的颜色。品牌颜色的类别图标。成功绿色表示已解决。,搜索自动完成、平滑的手风琴打开/关闭、类别悬停、有用的反馈按钮,减少支持票。跟踪搜索分析。显示相关文章。联系升级路径。
17,Immersive/Interactive Experience,"immersive, interactive, experience, 3d, animation, immersive/interactive experience","1. Full-screen interactive element, 2. Guided product tour, 3. Key benefits revealed, 4. CTA after completion",After interaction complete + Skip option for impatient users,沉浸式体验色彩。深色背景作为焦点。突出互动元素。,WebGL、3D 交互、游戏化元素、进度指示器、奖励动画,参与度提高 40%。性能权衡。提供跳过选项。移动后备必不可少。
18,Event/Conference Landing,"event, conference, meetup, registration, schedule, hero-centric design, hero-centric","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda/schedule, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,紧急颜色（倒计时）。活动品牌。专业音箱卡。赞助商标志中立。,倒计时器、带有个人简介的扬声器悬停卡、议程选项卡、早鸟倒计时,早鸟价有截止日期。社会证明（过去的参加者）。演讲者的可信度。多票折扣。
19,Product Review/Ratings Focused,"reviews, ratings, testimonials, social-proof, social-proof-focused, stars","1. Hero (product + aggregate rating), 2. Rating breakdown, 3. Individual reviews, 4. Buy/CTA",After reviews summary + Buy button alongside reviews,相信颜色。星级评级黄金。已验证徽章绿色。回顾情绪颜色。,星形填充动画、评论过滤、有用的投票互动、照片灯箱,用户生成的内容建立信任。显示已验证的购买。按评级过滤。回应负面评论。
20,Community/Forum Landing,"community, forum, social, members, discussion","1. Hero (community value prop), 2. Popular topics/categories, 3. Active members showcase, 4. Join CTA",Join button prominent + After member showcase,热情、欢迎。会员照片增添人性。品牌颜色的主题徽章。活动指示器绿色。,会员头像动画、活动动态实时更新、主题悬停预览、加入成功庆典,显示活跃社区（成员数量、今天的帖子）。突出优势。预览内容。轻松入职。
21,Before-After Transformation,"before-after, transformation, results, comparison","1. Hero (problem state), 2. Transformation slider/comparison, 3. How it works, 4. Results CTA",After transformation reveal + Bottom,对比：柔和/灰色（之前）与鲜艳/多彩（之后）。成功为结果绿色。,滑块比较交互、显示动画之前/之后、结果计数器、推荐视频,视觉价值证明。转化率提高 45%。真实的结果。具体指标。保证报价。
22,Marketplace / Directory,"marketplace, directory, search, listing","1. Hero (Search focused), 2. Categories, 3. Featured Listings, 4. Trust/Safety, 5. CTA (Become a host/seller)",Hero Search Bar + Navbar 'List your item',搜索：高对比度。类别：视觉图标。信任：蓝色/绿色。,搜索自动完成动画、地图悬停图钉、卡片轮播,搜索栏就是 CTA。减少搜索摩擦。热门搜索建议。
23,Newsletter / Content First,"newsletter, content, writer, blog, subscribe, minimal & direct, minimal-direct","1. Hero (Value Prop + Form), 2. Recent Issues/Archives, 3. Social Proof (Subscriber count), 4. About Author",Hero inline form + Sticky header form,极简主义。纸状背景。文本焦点。订阅的强调色。,文本高亮动画、打字机效果、微妙的淡入,单字段表单（仅限电子邮件）。显示“加入 X，000 位读者”。阅读示例链接。
24,Webinar Registration,"webinar, registration, event, training, live","1. Hero (Topic + Timer + Form), 2. What you'll learn, 3. Speaker Bio, 4. Urgency/Bonuses, 5. Form (again)",Hero (Right side form) + Bottom anchor,紧急情况：红色/橙色。专业：蓝色/海军蓝。形式：高对比度白色。,倒计时器、扬声器头像浮动、紧急行情指示器,有限席位逻辑。 “实时”指示器。自动填充时区。
25,Enterprise Gateway,"enterprise, corporate, gateway, solutions, portal, trust, authority, trust & authority","1. Hero (Video/Mission), 2. Solutions by Industry, 3. Solutions by Role, 4. Client Logos, 5. Contact Sales",Contact Sales (Primary) + Login (Secondary),公司：海军蓝/灰色。诚信度高。保守的口音。,慢视频背景、徽标轮播、行业标签切换,路径选择（我是...）。大型菜单导航。信任信号突出。
26,Portfolio Grid,"portfolio, grid, showcase, gallery, masonry, portfolio grid + visuals","1. Hero (Name/Role), 2. Project Grid (Masonry), 3. About/Philosophy, 4. Contact",Project Card Hover + Footer Contact,中性背景（让作品发光）。文本：黑/白。口音：最小。,图像延迟加载显示、悬停叠加信息、灯箱视图,首先是视觉效果。按类别过滤。快速加载至关重要。
27,Horizontal Scroll Journey,"horizontal, scroll, journey, gallery, storytelling, panoramic, storytelling-driven","1. Intro (Vertical), 2. The Journey (Horizontal Track), 3. Detail Reveal, 4. Vertical Footer",Floating Sticky CTA or End of Horizontal Track,连续的调色板过渡。章节颜色。进度条#000000。,滚动升降（小心）、视差图层、水平滑动、进度指示器,沉浸式产品发现。高参与度。保持导航可见。
28,Bento Grid Showcase,"bento, grid, features, modular, apple-style, showcase, feature-rich showcase","1. Hero, 2. Bento Grid (Key Features), 3. Detail Cards, 4. Tech Specs, 5. CTA",Floating Action Button or Bottom of Grid,卡片背景：#F5F5F7 或玻璃。图标：充满活力的品牌颜色。文字：黑暗。,悬停卡牌比例 (1.02)、卡内视频、倾斜效果、交错显示,可扫描的价值道具。信息密度高，无杂乱。移动堆栈。
29,Interactive 3D Configurator,"3d, configurator, customizer, interactive, product, interactive product demo","1. Hero (Configurator), 2. Feature Highlight (synced), 3. Price/Specs, 4. Purchase",Inside Configurator UI + Sticky Bottom Bar,中性工作室背景。产品：现实材料。 UI：最小覆盖。,实时渲染、材质交换动画、相机旋转/缩放、光反射,增加主人翁感。 360 度视图可降低退货率。直接添加到购物车。
30,AI-Driven Dynamic Landing,"ai, dynamic, personalized, adaptive, generative","1. Prompt/Input Hero, 2. Generated Result Preview, 3. How it Works, 4. Value Prop",Input Field (Hero) + 'Try it' Buttons,适应用户输入。暗黑模式带来计算感。霓虹灯口音。,键入文本效果、闪烁的生成加载程序、变形布局,即时价值展示。 “展示，而不是讲述”。低摩擦启动。
31,Feature-Rich Showcase,"feature-rich, feature-rich showcase, features, showcase, product showcase","1. Hero (value prop), 2. Feature grid/cards (4-6), 3. Use cases or benefits, 4. Social proof or logos, 5. CTA",Hero (sticky) + After features + Bottom,品牌主+卡片背景#FAFAFA。特色图标重音。 CTA 对比。,功能卡悬停升降、滚动显示、图标微交互,清晰的功能层次结构。每张卡片一条关键信息。强烈的 CTA 重复。
32,Hero-Centric Design,"hero-centric, hero-centric design, hero-first, hero above fold","1. Full-bleed Hero (headline + visual), 2. Single value prop strip, 3. Key benefit or proof, 4. Primary CTA",Hero dominant (center/bottom) + Sticky nav CTA,英雄：高冲击力的视觉效果。最少的文字。 CTA 7:1 对比度。,英雄视差或视频、滚动上的 CTA 脉冲、最少的镶边,一项主要 CTA。 Hero 的弃牌率为 60-80%。移动设备：相同的层次结构。
33,Trust & Authority + Conversion,"trust & authority, trust, authority, conversion, credibility, enterprise","1. Hero (mission/credibility), 2. Proof (logos, certs, stats), 3. Solution overview, 4. Clear CTA path",Contact Sales / Get Quote (primary) + Nav,海军蓝/灰色公司。相信蓝色。仅用于 CTA 的强调。,徽标轮播、统计计数器、推荐条,安全徽章。案例研究。透明的定价。低摩擦形式。
34,Real-Time / Operations Landing,"real-time, real-time monitor, operations, dashboard, telemetry, live data","1. Hero (product + live preview or status), 2. Key metrics/indicators, 3. How it works, 4. CTA (Start trial / Contact)",Primary CTA in nav + After metrics,深色或中性。状态颜色（绿色/琥珀色/红色）。数据密集但可扫描。,实时数据自动收录器、状态脉冲、最少的装饰,适用于操作/安全/物联网产品。演示或沙箱链接。信任信号。
