No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
11,Retro-Futurism,General,"Vintage sci-fi, 80s aesthetic, neon glow, geometric patterns, CRT scanlines, pixel art, cyberpunk, synthwave",霓虹蓝 #0080FF、亮粉色 #FF006E、青色 #00FFFF、深黑 #1A1A2E、紫色 #5D34D0,金属银 #C0C0C0、金色 #FFD700、双色调、80 年代粉色 #FF10F0、霓虹灯装饰,CRT 扫描线（::覆盖之前）、霓虹灯发光（文本阴影+框阴影）、故障效果（倾斜/偏移关键帧）,游戏、娱乐、音乐平台、科技品牌、艺术项目、怀旧、赛博朋克,保守行业、关键可达性、专业/企业、老年人、法律/金融,✓ Full,✓ Dark focused,⚠ 中等,⚠ 高对比度/应变,◐ 中等,◐ 中等,Tailwind 8/10，CSS-in-JS 9/10,20 世纪 80 年代复古,中,"Build a retro-futuristic (cyberpunk/vaporwave) interface with neon colors (blue, pink, cyan), deep black background, 80s aesthetic, CRT scanlines, glitch effects, neon glow text/borders, monospace fonts, geometric patterns. Use neon text-shadow and animated glitch effects.","color: neon colors (#0080FF, #FF006E, #00FFFF), text-shadow: 0 0 10px neon, background: #000 or #1A1A2E, font-family: monospace, animation: glitch (skew+offset), filter: hue-rotate",使用霓虹灯颜色，CRT 扫描线效果，激活小故障动画，等宽字体，深黑色背景，应用发光效果，存在 80 年代图案,"--neon-colors:#0080FF #FF006E #00FFFF, --background: #000000, --font-family:等宽字体, --effect:故障+发光, --scanline-opacity: 0.3, --crt-effect: true"
12,Flat Design,General,"2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused, modern, icon-heavy",纯亮：红色、橙色、蓝色、绿色，有限调色板（最多 4-6 个）,互补色、柔和的次要色、高饱和度、干净的口音,无渐变/阴影、简单的悬停（颜色/不透明度变化）、快速加载、干净的过渡（150-200 毫秒轻松）、最少的图标,Web 应用程序、移动应用程序、跨平台、启动 MVP、用户友好、SaaS、仪表板、企业,复杂 3D、高级/豪华、艺术组合、沉浸式体验、高细节,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 高,Tailwind 10/10、Bootstrap 10/10、MUI 9/10,2010 年代现代,低,"Create a flat, 2D interface with bold colors, no shadows/gradients, clean lines, simple geometric shapes, icon-heavy, typography-focused, minimal ornamentation. Use 4-6 solid, bright colors in a limited palette with high saturation.","box-shadow: none, background: solid color, border-radius: 0-4px, color: solid (no gradients), fill: solid, stroke: 1-2px, font: bold sans-serif, icons: simplified SVG",✓ 无阴影/渐变，✓ 最多 4-6 种纯色，✓ 线条清晰一致，✓ 使用简单的形状，✓ 图标较多的布局，✓ 高饱和度颜色，✓ 已验证快速加载,"--shadow: none, --color-palette:4-6 固体, --border-radius: 2px, --gradient: none, --icons:简化的 SVG, --animation:最短 150-200 毫秒"
13,Skeuomorphism,General,"Realistic, texture, depth, 3D appearance, real-world metaphors, shadows, gradients, tactile, detailed, material",丰富的真实感：木材、皮革、金属颜色、详细渐变（8-12 级）、金属效果,真实的光照渐变、阴影变化（暗 30-50%）、纹理叠加、材质颜色,逼真的阴影（图层）、深度（透视）、纹理细节（噪点、颗粒）、逼真的动画（300-500ms）,旧版应用程序、游戏、沉浸式故事讲述、优质产品、奢侈品、真实模拟、教育,现代企业、关键可访问性、低性能、Web（使用扁平/现代）,◐ Partial,◐ Partial,❌ 性能较差,⚠ 纹理降低可读性,✗ 低,◐ 中等,CSS-in-JS 7/10，自定义 8/10,2007-2012 iOS,高,"Design a realistic, textured interface with 3D depth, real-world metaphors (leather, wood, metal), complex gradients (8-12 stops), realistic shadows, grain/texture overlays, tactile press animations. Perfect for premium/luxury products.","background: complex gradient (8-12 stops), box-shadow: realistic multi-layer, background-image: texture overlay (noise, grain), filter: drop-shadow, transform: scale on press (300-500ms)",应用真实纹理，复杂渐变 8-12 级，多层阴影，存在纹理叠加，触觉动画平滑，深度效果明显,"--gradient-stops: 8-12, --texture-overlay:噪音+颗粒, --shadow-layers: 3+, --animation-duration: 300-500ms, --depth-effect:明显的, --tactile: true"
14,Liquid Glass,General,"Flowing glass, morphing, smooth transitions, fluid effects, translucent, animated blur, iridescent, chromatic aberration",充满活力的彩虹色（彩虹光谱），具有不透明度变化的半透明底座，梯度流动性,色差（红青色）、彩虹色溢油、流体梯度混合、全息效果,变形元素 (SVG/CSS)、流体动画（400-600ms 曲线）、动态模糊（背景滤镜）、颜色过渡,优质 SaaS、高端电子商务、创意平台、品牌体验、奢侈品组合,性能有限、可访问性关键、数据复杂、项目预算,✓ Full,✓ Full,⚠ 中等-较差,⚠ 文字对比,◐ 中等,✓ 高,Framer Motion 10/10、GSAP 10/10,2020 年代现代,高,"Create a premium liquid glass effect with morphing shapes, flowing animations, chromatic aberration, iridescent gradients, smooth 400-600ms transitions. Use SVG morphing for shape changes, dynamic blur, smooth color transitions creating a fluid, premium feel.","animation: morphing SVG paths (400-600ms), backdrop-filter: blur + saturate, filter: hue-rotate + brightness, blend-mode: screen, background: iridescent gradient",变形动画 400-600 毫秒，应用色差，启用动态模糊，虹彩渐变，平滑的颜色过渡，实现高级感觉,"--morph-duration: 400-600ms, --blur-amount: 15px, --chromatic-aberration: true, --iridescent: true, --blend-mode:屏幕, --smooth-transitions: true"
15,Motion-Driven,General,"Animation-heavy, microinteractions, smooth transitions, scroll effects, parallax, entrance anim, page transitions",大胆的颜色强调运动、高对比度动画、动态渐变、强调动作颜色,过渡状态、成功（绿色 #22C55E）、错误（红色 #EF4444）、中性反馈,滚动动画（Intersection Observer）、悬停（300-400ms）、入口、视差（3-5 层）、页面过渡,投资组合网站、讲故事平台、互动体验、娱乐应用、创意、SaaS,数据仪表板、关键可访问性、低功耗设备、内容丰富、运动敏感,✓ Full,✓ Full,⚠ 好,⚠ 喜欢减少运动,✓ 好,✓ 高,GSAP 10/10，Framer Motion 10/10,2020 年代现代,高,"Build an animation-heavy interface with scroll-triggered animations, microinteractions, parallax scrolling (3-5 layers), smooth transitions (300-400ms), entrance animations, page transitions. Use Intersection Observer for scroll effects, transform for performance, GPU acceleration.","animation: @keyframes scroll-reveal, transform: translateY/X, Intersection Observer API, will-change: transform, scroll-behavior: smooth, animation-duration: 300-400ms",动态滚动动画，视差 3-5 层，入口动画流畅，页面过渡流畅，GPU 加速，优先考虑减少运动,"--animation-duration: 300-400ms, --parallax-layers: 5, --scroll-behavior:光滑, --gpu-accelerated: true, --entrance-animation: true, --page-transition:光滑"
16,Micro-interactions,General,"Small animations, gesture-based, tactile feedback, subtle animations, contextual interactions, responsive",细微的颜色变化 (10-20%)，反馈：绿色 #22C55E、红色 #EF4444、琥珀色 #F59E0B,口音反馈、中性支持、明确的行动指标,小悬停（50-100 毫秒）、加载旋转器、成功/错误状态动画、手势触发（滑动/捏合）、触觉,移动应用程序、触摸屏 UI、生产力工具、用户友好型消费者应用程序、交互式组件,仅桌面、关键性能、可访问性优先（需要替代方案）,✓ Full,✓ Full,⚡ 非常好,✓ 好,✓ 高,✓ 高,Framer Motion 10/10，React 弹簧 9/10,2020 年代现代,中,"Design with delightful micro-interactions: small 50-100ms animations, gesture-based responses, tactile feedback, loading spinners, success/error states, subtle hover effects, haptic feedback triggers for mobile. Focus on responsive, contextual interactions.","animation: short 50-100ms, transition: hover states, @media (hover: hover) for desktop, :active for press, haptic-feedback CSS/API, loading animation smooth loop",50-100 毫秒微动画，手势响应，视觉/触觉触觉反馈，加载旋转器平滑，成功/错误状态清晰，悬停效果微妙,"--micro-animation-duration: 50-100ms, --gesture-responsive: true, --haptic-feedback: true, --loading-animation:光滑, --state-feedback:成功+错误"
17,Inclusive Design,General,"Accessible, color-blind friendly, high contrast, haptic feedback, voice interaction, screen reader, WCAG AAA, universal",WCAG AAA（7:1+ 对比度），仅避免红绿，基于符号的指示器，高对比度主色,支持图案（条纹、圆点、阴影）、符号、组合、清晰的非颜色指示符,触觉反馈（振动）、语音指导、焦点指示器（4px+ 环）、动作选项、替代内容、语义,公共服务、教育、医疗、金融、政府、无障碍消费者、包容性,无 - 无障碍通用,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 高,所有框架 10/10,通用,低,"Design for universal accessibility: high contrast (7:1+), large text (16px+), keyboard-only navigation, screen reader optimization, WCAG AAA compliance, symbol-based color indicators (not color-only), haptic feedback, voice interaction support, reduced motion options.","aria-* attributes complete, role attributes semantic, focus-visible: 3-4px ring, color-contrast: 7:1+, @media (prefers-reduced-motion), alt text on all images, form labels properly associated",CWAG AAA 验证，7:1+ 对比度所有文本，键盘可访问（Tab/Enter），屏幕阅读器经过测试，焦点可见 3-4px，无纯颜色指示器，触觉回退,"--contrast-ratio: 7:1, --font-size:16px 以上, --keyboard-accessible: true, --sr-compatible: true, --wcag-level: AAA, --color-symbols: true, --haptic:已启用"
18,Zero Interface,General,"Minimal visible UI, voice-first, gesture-based, AI-driven, invisible controls, predictive, context-aware, ambient",中性背景：柔和的白色#FAFAFA、浅灰色#F0F0F0、暖灰白色#F5F1E8,微妙的反馈：浅绿色、浅红色、最小的 UI 元素、柔和的口音,语音识别 UI、手势检测、AI 预测（平滑揭示）、渐进式揭示、智能建议,语音助手、人工智能平台、未来用户体验、智能家居、情境计算、环境体验,复杂的工作流程、数据输入繁重、传统系统、遗留支持、显式控制,✓ Full,✓ Full,⚡ 非常好,✓ 优秀,✓ 高,✓ 高,Tailwind 10/10，定制 10/10,2020 年代 AI 时代,低,"Create a voice-first, gesture-based, AI-driven interface with minimal visible UI, progressive disclosure, voice recognition UI, gesture detection, AI predictions, smart suggestions, context-aware actions. Hide controls until needed.","voice-commands: Web Speech API, gesture-detection: touch events, AI-predictions: hidden by default (reveal on hover), progressive-disclosure: show on demand, minimal UI visible",响应语音命令，手势检测处于活动状态，隐藏/显示人工智能预测，渐进式披露工作，最小可见用户界面，上下文智能建议,"--voice-ui:已启用, --gesture-detection:活跃的, --ai-predictions:聪明的, --progressive-disclosure: true, --visible-ui:最小的, --context-aware: true"
19,Soft UI Evolution,General,"Evolved soft UI, better contrast, modern aesthetics, subtle depth, accessibility-focused, improved shadows, hybrid",改进的对比度粉彩：柔和的蓝色 #87CEEB、柔和的粉色 #FFB6C1、柔和的绿色 #90EE90，层次感更好,更好的组合，可访问的辅助，支持改进的对比度，现代口音,改进的阴影（比平面更柔和，比拟态更清晰），现代（200-300ms），焦点可见，WCAG AA/AAA,现代企业应用程序、SaaS 平台、健康/保健、现代商业工具、专业、混合,极简主义、关键性能、没有现代操作系统的系统,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA+,✓ 高,✓ 高,Tailwind 9/10、MUI 9/10、Chakra UI 9/10,2020 年代现代,中,"Design evolved neumorphism with improved contrast (WCAG AA+), modern aesthetics, subtle depth, accessibility focus. Use soft shadows (softer than flat but clearer than pure neumorphism), better color hierarchy, improved focus states, modern 200-300ms animations.","box-shadow: softer multi-layer (0 2px 4px), background: improved contrast pastels, border-radius: 8-12px, animation: 200-300ms smooth, outline: 2-3px on focus, contrast: 4.5:1+",改进的 AA/AAA 对比度，现代柔和阴影，边框半径 8-12px，动画 200-300 毫秒，焦点状态可见，颜色层次清晰,"--shadow-soft:现代融合, --border-radius: 10px, --animation-duration: 200-300ms, --contrast-ratio: 4.5:1+, --color-hierarchy:改进的, --wcag-level:AA+"
20,Hero-Centric Design,Landing Page,"Large hero section, compelling headline, high-contrast CTA, product showcase, value proposition, hero image/video, dramatic visual",品牌原色、白色/浅色背景进行对比、CTA 强调色,辅助 CTA 的支持颜色、重点突出、信任元素（推荐、徽标）,平滑滚动显示、英雄淡入动画、微妙的背景视差、CTA 发光/脉冲效果,SaaS 登陆页面、产品发布、服务登陆页面、B2B 平台、科技公司,复杂的导航、多页面体验、数据密集型应用程序,✓ Full,✓ Full,⚡ 好,✓ WCAG AA,✓ 完整,✓ 非常高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a hero-centric landing page. Use: full-width hero section, compelling headline (60-80 chars), high-contrast CTA button, product screenshot or video, value proposition above fold, gradient or image background, clear visual hierarchy.","min-height: 100vh, display: flex, align-items: center, background: linear-gradient or image, text-shadow for readability, max-width: 800px for text, button with hover scale (1.05)",英雄部分全视口高度，标题在折叠上方可见，CTA 按钮高对比度，背景图像优化 (WebP)，背景文本可读，移动响应式布局,"--hero-min-height:100 伏小时, --headline-size:夹具(2rem, 5vw, 4rem), --cta-padding:1 雷姆 2 雷姆, --overlay-opacity: 0.5, --text-shadow:0 2px 4px rgba(0,0,0,0.3)"
21,Conversion-Optimized,Landing Page,"Form-focused, minimalist design, single CTA focus, high contrast, urgency elements, trust signals, social proof, clear value",主要品牌颜色、高对比度白色/浅色背景、限时优惠的警告/紧急颜色,次要 CTA 颜色（静音）、信任元素颜色（推荐亮点）、强调主要优势,CTA 上的悬停状态（颜色偏移、轻微缩放）、表单焦点动画、加载旋转器、成功反馈,电子商务产品页面、免费试用注册、潜在客户开发、SaaS 定价页面、限时优惠,复杂的功能解释、多产品展示、技术文档,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 完整（移动优化）,✓ 非常高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a conversion-optimized landing page. Use: single primary CTA, minimal distractions, trust badges, urgency elements (limited time), social proof (testimonials), clear value proposition, form above fold, progress indicators.","form with focus states, input:focus ring, button: primary color high contrast, position: sticky for CTA, max-width: 600px for form, loading spinner, success/error states",☐ 单一主要 CTA 可见， ✓ 表单字段最少 (3-5)， ✓ 存在信任徽章， ✓ 折叠上方的社会证明， ✓ 移动表单优化， ✓ 已实施加载状态， ✓ A/B 测试就绪,"--cta-color:高对比度原色, --form-max-width: 600px, --input-height: 48px, --focus-ring:3px 纯色重音, --success-color: #22C55E, --error-color: #EF4444"
