No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
11,Server,React.cache Dedup,react cache deduplicate request,React/Next.js,使用 React.cache() 在单个请求中进行服务器端请求重复数据删除,用 cache()包装数据获取器,在树中多次获取相同的数据,export const getUser = cache(async () => await db.user.find()),export async function getUser() { return await db.user.find() },Medium
12,Server,LRU Cache Cross-Request,lru cache cross request,React/Next.js,使用 LRU 缓存来存储跨顺序请求共享的数据,使用 LRU 进行交叉请求缓存,在每个请求上重新获取相同的数据,"const cache = new LRUCache({ max: 1000, ttl: 5*60*1000 })",Always fetch from database,High
13,Server,Minimize Serialization,serialization rsc boundary,React/Next.js,仅跨 RSC 边界传递客户端实际使用的字段,仅将需要的字段传递给客户端组件,将整个对象传递给客户端,<Profile name={user.name} />,<Profile user={user} /> //50 个序列化字段,High
14,Server,Parallel Fetching,parallel fetch component composition,React/Next.js,重组组件以并行化 RSC 中的数据获取,使用组件组合进行并行获取,父组件中的顺序获取,<Header /><Sidebar /> //两者并行获取,const header = await fetchHeader(); return <><div>{header}</div><Sidebar /></>,Critical
15,Server,After Non-blocking,after non-blocking logging,React/Next.js,使用 Next.js after() 在发送响应后安排工作,使用 after() 进行日志记录/分析,非关键操作的块响应,after(async () => { await logAction() }); return Response.json(data),await logAction(); return Response.json(data),Medium
16,Client,SWR Deduplication,swr dedup cache revalidate,React/Next.js,使用 SWR 进行自动请求重复数据删除和缓存,使用 useSWR 进行客户端数据获取,useEffect 中手动获取,"const { data } = useSWR('/api/users', fetcher)","useEffect(() => { fetch('/api/users').then(setUsers) }, [])",Medium-High
17,Client,Event Listener Dedup,event listener deduplicate global,React/Next.js,跨组件实例共享全局事件监听器,对共享侦听器使用 useSWRSubscription,每个组件实例注册监听器,"useSWRSubscription('global-keydown', () => { window.addEventListener... })","useEffect(() => { window.addEventListener('keydown', handler) }, [])",Low
18,Rerender,Defer State Reads,state read callback subscription,React/Next.js,不要订阅仅在回调中使用的状态,在回调中按需读取状态,订阅仅在处理程序中使用的状态,const handleClick = () => { const params = new URLSearchParams(location.search) },const params = useSearchParams(); const handleClick = () => { params.get('ref') },Medium
19,Rerender,Memoized Components,memo extract expensive,React/Next.js,将昂贵的工作提取到记忆组件中以便尽早返回,提取到 memo() 组件,在提前返回之前计算昂贵的值,const UserAvatar = memo(({ user }) => ...); if (loading) return <Skeleton />,const avatar = useMemo(() => compute(user)); if (loading) return <Skeleton />,Medium
20,Rerender,Narrow Dependencies,effect dependency primitive,React/Next.js,指定原始依赖项而不是效果中的对象,在依赖数组中使用原始值,使用对象引用作为依赖项,"useEffect(() => { console.log(user.id) }, [user.id])","useEffect(() => { console.log(user.id) }, [user])",Low
21,Rerender,Derived State,derived boolean subscription,React/Next.js,订阅派生布尔值而不是连续值,使用派生布尔状态,订阅连续值,const isMobile = useMediaQuery('(max-width: 767px)'),const width = useWindowWidth(); const isMobile = width < 768,Medium
22,Rerender,Functional setState,functional setstate callback,React/Next.js,使用功能性 setState 更新来实现稳定的回调并且不会出现过时的闭包,使用函数形式：setState(curr => ...),直接在 setState 中引用状态,"setItems(curr => [...curr, newItem])","setItems([...items, newItem]) //依赖项中的项目",Medium
23,Rerender,Lazy State Init,usestate lazy initialization,React/Next.js,将函数传递给 useState 以获得昂贵的初始值,使用函数形式进行昂贵的初始化,直接计算昂贵的价值,useState(() => buildSearchIndex(items)),useState(buildSearchIndex(items)) //运行每个渲染,Medium
24,Rerender,Transitions,starttransition non-urgent,React/Next.js,将频繁的非紧急状态更新标记为转换,使用 startTransition 进行非紧急更新,每次状态更改时阻止 UI,startTransition(() => setScrollY(window.scrollY)),setScrollY(window.scrollY) //每次滚动都会阻塞主线程,Medium
25,Rendering,SVG Animation Wrapper,svg animation wrapper div,React/Next.js,将 SVG 包装在 div 和 animate 包装器中以实现硬件加速,SVG 周围的动画 div 包装,直接为 SVG 元素制作动画,<div class='animate-spin'><svg>...</svg></div>,<svg class='animate-spin'>...</svg>,Low
26,Rendering,Content Visibility,content-visibility auto,React/Next.js,应用 content-visibility: auto 来推迟离屏渲染,对长列表使用内容可见性,立即渲染所有列表项,.item { content-visibility: auto; contain-intrinsic-size: 0 80px },Render 1000 items without optimization,High
27,Rendering,Hoist Static JSX,hoist static jsx element,React/Next.js,提取静态 JSX 外部组件以避免重新创建,将静态元素提升到模块范围,在组件内创建静态元素,const skeleton = <div class='animate-pulse' />; function C() { return skeleton },function C() { return <div class='animate-pulse' /> },Low
28,Rendering,Hydration No Flicker,hydration mismatch flicker,React/Next.js,使用内联脚本在水合之前设置仅限客户端的数据,为仅限客户端的值注入同步脚本,使用 useEffect 导致 flash,<script dangerouslySetInnerHTML={{ __html: 'el.className = localStorage.theme' }} />,"useEffect(() => setTheme(localStorage.theme), []) //闪烁",Medium
29,Rendering,Conditional Render,conditional render ternary,React/Next.js,当条件可以为 0 或 NaN 时，使用三元代替 &&,使用显式三元作为条件,使用 && 处理可能为假的数字,{count > 0 ? <Badge>{count}</Badge> : null},{count && <Badge>{count}</Badge>} //呈现“0”,Low
30,Rendering,Activity Component,activity show hide preserve,React/Next.js,使用 Activity 组件保留切换组件的状态/DOM,将 Activity 用于昂贵的切换组件,在可见性切换上卸载/重新安装,<Activity mode={isOpen ? 'visible' : 'hidden'}><Menu /></Activity>,{isOpen && <Menu />} //失去状态,Medium
31,JS Perf,Batch DOM CSS,batch dom css reflow,React/Next.js,通过类或 cssText 对 CSS 更改进行分组，以最大程度地减少回流,使用类切换或 cssText,一次更改一个属性的样式,element.classList.add('highlighted'),el.style.width='100px'; el.style.height='200px',Medium
32,JS Perf,Index Map Lookup,map index lookup find,React/Next.js,构建 Map 以进行重复查找，而不是多次调用 .find(),为 O(1) 查找构建索引映射,在循环中使用 .find(),"const byId = new Map(users.map(u => [u.id, u])); byId.get(id)",users.find(u => u.id === order.userId) //每次 O(n),Low-Medium
33,JS Perf,Cache Property Access,cache property loop,React/Next.js,在热路径中缓存对象属性查找,循环之前缓存值,访问循环中的嵌套属性,const val = obj.config.settings.value; for (...) process(val),for (...) process(obj.config.settings.value),Low-Medium
34,JS Perf,Cache Function Results,memoize cache function,React/Next.js,使用模块级 Map 来缓存重复的函数结果,使用 Map 缓存进行重复调用,重复重新计算相同的值,const cache = new Map(); if (cache.has(x)) return cache.get(x),slugify(name) //调用相同输入 100 次,Medium
35,JS Perf,Cache Storage API,localstorage cache read,React/Next.js,缓存 localStorage/sessionStorage 读取到内存中,缓存存储读取 Map,每次调用时读取存储,"if (!cache.has(key)) cache.set(key, localStorage.getItem(key))",localStorage.getItem('theme') //每次通话,Low-Medium
36,JS Perf,Combine Iterations,combine filter map loop,React/Next.js,将多个过滤器/映射合并到单个循环中,多个分类的单循环,链接多个 filter()调用,for (u of users) { if (u.isAdmin) admins.push(u); if (u.isTester) testers.push(u) },users.filter(admin); users.filter(tester); users.filter(inactive),Low-Medium
37,JS Perf,Length Check First,length check array compare,React/Next.js,在进行昂贵的比较之前检查数组长度,如果长度不同则提前返回,始终进行昂贵的比较,if (a.length !== b.length) return true; //然后比较,a.sort().join() !== b.sort().join() //即使长度不同,Medium-High
38,JS Perf,Early Return,early return exit function,React/Next.js,当结果确定跳过处理时提前返回,出现第一个错误时立即返回,处理所有项目然后检查错误,for (u of users) { if (!u.email) return { error: 'Email required' } },let hasError; for (...) { if (!email) hasError=true }; if (hasError)...,Low-Medium
39,JS Perf,Hoist RegExp,regexp hoist module,React/Next.js,不要在渲染中创建 RegExp - hoist 或 memoize,将 RegExp 提升到模块范围,每次渲染都创建正则表达式,const EMAIL_RE = /^[^@]+@[^@]+$/; function validate() { EMAIL_RE.test(x) },function C() { const re = new RegExp(pattern); re.test(x) },Low-Medium
40,JS Perf,Loop Min Max,loop min max sort,React/Next.js,使用循环计算最小值/最大值而不是排序 - O(n) 与 O(n log n),最小/最大单通道循环,对数组进行排序以查找最小值/最大值,let max = arr[0]; for (x of arr) if (x > max) max = x,"arr.sort((a,b) => b-a)[0] //O(n log n)",Low
41,JS Perf,Set Map Lookups,set map includes has,React/Next.js,使用 Set/Map 进行 O(1) 查找而不是 array.includes(),转换为 Set 以进行成员资格检查,使用 .includes() 进行重复检查,"const allowed = new Set(['a','b']); allowed.has(id)","const allowed = ['a','b']; allowed.includes(id)",Low-Medium
42,JS Perf,toSorted Immutable,tosorted sort immutable,React/Next.js,使用 toSorted() 而不是 sort() 以避免数组变异,使用 toSorted() 实现不变性,使用 sort() 改变数组,"users.toSorted((a,b) => a.name.localeCompare(b.name))","users.sort((a,b) => a.name.localeCompare(b.name)) //变异",Medium-High
43,Advanced,Event Handler Refs,useeffectevent ref handler,React/Next.js,将回调存储在 refs 中以实现稳定效果订阅,使用 useEffectEvent 作为稳定的处理程序,每次回调更改时重新订阅,"const onEvent = useEffectEvent(handler); useEffect(() => { listen(onEvent) }, [])","useEffect(() => { listen(handler) }, [handler]) //重新订阅",Low
44,Advanced,useLatest Hook,uselatest ref callback,React/Next.js,访问回调中的最新值而不添加到依赖项数组,在稳定回调中使用 useLatest 获取新值,添加回调以实现依赖关系,"const cbRef = useLatest(cb); useEffect(() => { setTimeout(() => cbRef.current()) }, [])","useEffect(() => { setTimeout(() => cb()) }, [cb]) //重新运行",Low
