No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
33,Luxury/Premium Brand,Storytelling + Feature-Rich,Liquid Glass + Glassmorphism,黑+金（#FFD700）+白,优雅+精致的排版,慢视差+高级显示（400-600ms）,"{""must_have"": ""high-quality-imagery"", ""must_have"": ""storytelling""}",廉价的视觉效果+快速的动画,HIGH
34,Restaurant/Food Service,Hero-Centric + Conversion,Vibrant & Block-based + Motion-Driven,暖色（橙红棕）,开胃+清晰的排版,食物图像显示+菜单悬停效果,"{""must_have"": ""high_quality_images"", ""if_delivery"": ""emphasize-speed""}",低质量图像 + 过时的营业时间,HIGH
35,Fitness/Gym App,Feature-Rich + Data,Vibrant & Block-based + Dark Mode (OLED),精力充沛（橙色#FF6B35）+黑暗背景,大胆+励志的排版,进度环动画+成就解锁,"{""must_have"": ""progress-tracking"", ""must_have"": ""workout-plans""}",静态设计+无游戏化,HIGH
36,Real Estate/Property,Hero-Centric + Feature-Rich,Glassmorphism + Minimalism,信赖蓝+金+白,专业+自信,3D 房产游览缩放+地图悬停,"{""if_luxury"": ""add-3d-models"", ""must_have"": ""map-integration""}",照片不佳+没有虚拟游览,HIGH
37,Travel/Tourism Agency,Storytelling-Driven + Hero,Aurora UI + Motion-Driven,充满活力的目的地+天蓝色,鼓舞人心+引人入胜,目的地视差+行程动画,"{""if_experience_focused"": ""use-storytelling"", ""must_have"": ""mobile-booking""}",普通照片+复杂预订,HIGH
38,Hotel/Hospitality,Hero-Centric + Social Proof,Liquid Glass + Minimalism,温暖的中性色 + 金色 (#D4AF37),优雅+温馨的排版,房间画廊 + 便利设施展示,"{""must_have"": ""room-booking"", ""must_have"": ""virtual-tour""}",照片不佳+预订复杂,HIGH
39,Wedding/Event Planning,Storytelling + Social Proof,Soft UI Evolution + Aurora UI,柔粉色(#FFD6E0)+金色+奶油色,优雅+浪漫的排版,图库展示 + 时间线动画,"{""must_have"": ""portfolio-gallery"", ""must_have"": ""planning-tools""}",通用模板+无作品集,HIGH
40,Legal Services,Trust & Authority + Minimal,Trust & Authority + Minimalism,海军蓝(#1E3A5F)+金色+白色,专业+权威排版,执业领域展示+律师简介动画,"{""must_have"": ""case-results"", ""must_have"": ""credential-display""}",过时的设计+隐藏的凭据+AI 紫色/粉色渐变,HIGH
41,Insurance Platform,Conversion + Trust,Trust & Authority + Flat Design,信任蓝色 (#0066CC) + 绿色 + 中性,清晰+专业的排版,报价计算器动画+政策比较,"{""must_have"": ""quote-calculator"", ""must_have"": ""policy-comparison""}",令人困惑的定价 + 没有信任信号 + AI 紫色/粉色渐变,HIGH
42,Banking/Traditional Finance,Trust & Authority + Feature,Minimalism + Accessible & Ethical,海军蓝 (#0A1628) + 信任蓝 + 金色,专业+值得信赖的排版,流畅的数字动画+安全指示器,"{""must_have"": ""security-first"", ""must_have"": ""accessibility""}",俏皮的设计+较差的安全性 UX+AI 紫色/粉色渐变,HIGH
43,Online Course/E-learning,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,充满活力的学习色+进步绿,友好+引人入胜的排版,进度条动画+证书显示,"{""must_have"": ""progress-tracking"", ""must_have"": ""video-player""}",无聊的设计+没有游戏化,HIGH
44,Non-profit/Charity,Storytelling + Trust,Accessible & Ethical + Organic Biophilic,与事业相关的颜色+信任+温暖,衷心+可读的排版,冲击计数器动画 + 故事揭晓,"{""must_have"": ""impact-stories"", ""must_have"": ""donation-transparency""}",无影响数据+隐藏财务数据,HIGH
45,Music Streaming,Feature-Rich Showcase,Dark Mode (OLED) + Vibrant & Block-based,深色 (#121212) + 充满活力的口音 + 专辑艺术颜色,现代+大胆的排版,波形可视化+播放列表动画,"{""must_have"": ""audio-player-ux"", ""if_discovery_focused"": ""add-playlist-recommendations""}",混乱的布局+糟糕的音频播放器用户体验,HIGH
46,Video Streaming/OTT,Hero-Centric + Feature-Rich,Dark Mode (OLED) + Motion-Driven,深色背景+海报颜色+品牌口音,大胆+引人入胜的排版,视频播放器动画+内容轮播（视差）,"{""must_have"": ""continue-watching"", ""if_personalized"": ""add-recommendations""}",静态布局+慢速视频播放器,HIGH
47,Job Board/Recruitment,Conversion-Optimized + Feature-Rich,Flat Design + Minimalism,专业蓝+成功绿+中性,清晰+专业的排版,搜索/过滤动画+应用程序流程,"{""must_have"": ""advanced-search"", ""if_salary_focused"": ""highlight-compensation""}",过时的表格+隐藏的过滤器,HIGH
48,Marketplace (P2P),Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Flat Design,信任颜色+类别颜色+成功绿色,现代+引人入胜的排版,查看星星动画+列表悬停效果,"{""must_have"": ""seller-profiles"", ""must_have"": ""secure-payment""}",低信任信号+混乱的布局,HIGH
49,Logistics/Delivery,Feature-Rich Showcase + Real-Time,Minimalism + Flat Design,蓝色 (#2563EB) + 橙色（跟踪） + 绿色,清晰+功能性的排版,实时跟踪动画+状态脉冲,"{""must_have"": ""tracking-map"", ""must_have"": ""delivery-updates""}",静态追踪+无地图集成+AI 紫/粉渐变,HIGH
50,Agriculture/Farm Tech,Feature-Rich Showcase,Organic Biophilic + Flat Design,大地绿(#4A7C23)+棕色+天蓝色,清晰+信息丰富的排版,数据可视化+天气动画,"{""must_have"": ""sensor-dashboard"", ""if_crop_focused"": ""add-health-indicators""}",通用设计+忽略辅助功能+AI 紫色/粉色渐变,MEDIUM
51,Construction/Architecture,Hero-Centric + Feature-Rich,Minimalism + 3D & Hyperrealism,灰色(#4A4A4A)+橙色(安全)+蓝图蓝,专业+大胆的排版,3D 模型查看器 + 时间线动画,"{""must_have"": ""project-portfolio"", ""if_team_collaboration"": ""add-real-time-updates""}",纯 2D 布局 + 图像质量较差 + AI 紫色/粉色渐变,HIGH
52,Automotive/Car Dealership,Hero-Centric + Feature-Rich,Motion-Driven + 3D & Hyperrealism,品牌颜色+金属色+深色/浅色,大胆+自信的排版,360°产品视图+配置器动画,"{""must_have"": ""vehicle-comparison"", ""must_have"": ""financing-calculator""}",静态产品页面+糟糕的用户体验,HIGH
53,Photography Studio,Storytelling-Driven + Hero-Centric,Motion-Driven + Minimalism,黑+白+简约,优雅+最小的排版,全屏图库+展示前/展示后,"{""must_have"": ""portfolio-showcase"", ""if_booking"": ""add-calendar-system""}",沉重的文字+糟糕的图像展示,HIGH
54,Coworking Space,Hero-Centric + Feature-Rich,Vibrant & Block-based + Glassmorphism,活力色彩+木色调+品牌,现代+引人入胜的排版,太空之旅视频+便利设施展示动画,"{""must_have"": ""virtual-tour"", ""must_have"": ""booking-system""}",过时的照片+混乱的布局,MEDIUM
55,Home Services (Plumber/Electrician),Conversion-Optimized + Trust,Flat Design + Trust & Authority,信任蓝+安全橙+灰色,专业+清晰的排版,紧急联系人突出显示+服务菜单动画,"{""must_have"": ""emergency-contact"", ""must_have"": ""certifications-display""}",隐藏联系信息+无认证,HIGH
56,Childcare/Daycare,Social Proof-Focused + Trust,Claymorphism + Vibrant & Block-based,俏皮粉彩+安全色+温暖,友好+有趣的排版,家长门户动画 + 活动图库展示,"{""must_have"": ""parent-communication"", ""must_have"": ""safety-certifications""}",通用设计+隐藏安全信息,HIGH
57,Senior Care/Elderly,Trust & Authority + Accessible,Accessible & Ethical + Soft UI Evolution,平静的蓝色+温暖的中性色+大文字,大+清晰的排版（18px+）,大触摸目标+清晰的导航,"{""must_have"": ""wcag-aaa"", ""must_have"": ""family-portal""}",小文字+复杂导航+AI 紫/粉渐变,HIGH
58,Medical Clinic,Trust & Authority + Conversion,Accessible & Ethical + Minimalism,医疗蓝 (#0077B6) + 信任白,专业+可读的排版,网上预约流程+医生资料揭秘,"{""must_have"": ""appointment-booking"", ""must_have"": ""insurance-info""}",过时的界面+混乱的预订+AI 紫色/粉色渐变,HIGH
59,Pharmacy/Drug Store,Conversion-Optimized + Trust,Flat Design + Accessible & Ethical,药房绿+信赖蓝+洁净白,清晰+功能性的排版,处方上传流程+续药提醒,"{""must_have"": ""prescription-management"", ""must_have"": ""drug-interaction-warnings""}",令人困惑的布局+隐私问题+AI 紫色/粉色渐变,HIGH
60,Dental Practice,Social Proof-Focused + Conversion,Soft UI Evolution + Minimalism,清新蓝+白色+微笑黄,友好+专业的排版,之前/之后画廊 + 患者感言轮播,"{""must_have"": ""before-after-gallery"", ""must_have"": ""appointment-system""}",图像不佳+没有推荐,HIGH
61,Veterinary Clinic,Social Proof-Focused + Trust,Claymorphism + Accessible & Ethical,关怀蓝+宠物色+温暖,友好+欢迎的排版,宠物档案管理+服务动画,"{""must_have"": ""pet-portal"", ""must_have"": ""emergency-contact""}",通用设计+隐藏服务,MEDIUM
62,Florist/Plant Shop,Hero-Centric + Conversion,Organic Biophilic + Vibrant & Block-based,自然绿+花粉/紫色,优雅+自然的排版,产品展示+季节转换,"{""must_have"": ""delivery-scheduling"", ""must_have"": ""care-guides""}",图像不佳+没有季节性内容,MEDIUM
63,Bakery/Cafe,Hero-Centric + Conversion,Vibrant & Block-based + Soft UI Evolution,暖棕色+奶油色+开胃口音,温暖+邀请的排版,菜单悬停+订单动画,"{""must_have"": ""menu-display"", ""must_have"": ""online-ordering""}",糟糕的食物照片+隐藏时间,HIGH
64,Brewery/Winery,Storytelling + Hero-Centric,Motion-Driven + Storytelling-Driven,深琥珀色/酒红色+金色+工艺,手工+遗产版式,品酒笔记揭示+遗产时间表,"{""must_have"": ""product-showcase"", ""must_have"": ""story-heritage""}",通用产品页面+没有故事,HIGH
65,Airline,Conversion + Feature-Rich,Minimalism + Glassmorphism,天蓝色+品牌色+信任,清晰+专业的排版,航班搜索动画+登机牌显示,"{""must_have"": ""flight-search"", ""must_have"": ""mobile-first""}",预订复杂+移动设备较差,HIGH
66,News/Media Platform,Hero-Centric + Feature-Rich,Minimalism + Flat Design,品牌色+高对比度,清晰+可读的排版,突发新闻徽章 + 文章展示动画,"{""must_have"": ""mobile-first-reading"", ""must_have"": ""category-navigation""}",布局混乱+加载缓慢,HIGH
67,Magazine/Blog,Storytelling + Hero-Centric,Swiss Modernism 2.0 + Motion-Driven,编辑颜色+品牌+干净的白色,社论+优雅的排版,文章转换+类别显示,"{""must_have"": ""article-showcase"", ""must_have"": ""newsletter-signup""}",排版不佳+加载缓慢,HIGH
68,Freelancer Platform,Feature-Rich + Conversion,Flat Design + Minimalism,专业蓝+成功绿,清晰+专业的排版,技能比赛动画+回顾揭示,"{""must_have"": ""portfolio-display"", ""must_have"": ""skill-matching""}",个人资料不佳+没有评论,HIGH
69,Marketing Agency,Storytelling + Feature-Rich,Brutalism + Motion-Driven,大胆的品牌色彩+创意自由,大胆+富有表现力的排版,作品集展示 + 结果动画,"{""must_have"": ""portfolio"", ""must_have"": ""results-metrics""}",无聊的设计+隐藏的工作,HIGH
70,Event Management,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,活动主题色+兴奋的口音,大胆+引人入胜的排版,倒计时+注册流程,"{""must_have"": ""registration"", ""must_have"": ""agenda-display""}",令人困惑的注册+没有倒计时,HIGH
71,Membership/Community,Social Proof + Conversion,Vibrant & Block-based + Soft UI Evolution,社区品牌颜色+参与度,友好+引人入胜的排版,会员专柜+福利揭晓,"{""must_have"": ""member-benefits"", ""must_have"": ""pricing-tiers""}",隐藏的好处+没有社区证明,HIGH
72,Newsletter Platform,Minimal + Conversion,Minimalism + Flat Design,品牌主色+洁白+CTA,干净+可读的排版,订阅表格+存档揭示,"{""must_have"": ""subscribe-form"", ""must_have"": ""sample-content""}",复杂的注册+无预览,MEDIUM
73,Digital Products/Downloads,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,产品颜色+品牌+成功绿色,现代+清晰的排版,产品预览+即时交付动画,"{""must_have"": ""product-preview"", ""must_have"": ""instant-delivery""}",没有预览+发货慢,HIGH
74,Church/Religious Organization,Hero-Centric + Social Proof,Accessible & Ethical + Soft UI Evolution,暖金+深紫/蓝+白色,欢迎+清晰的排版,服务时间亮点+活动日历,"{""must_have"": ""service-times"", ""must_have"": ""community-events""}",过时的设计+隐藏信息,MEDIUM
75,Sports Team/Club,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,团队颜色+活力口音,大胆+有影响力的排版,乐谱动画+赛程表揭晓,"{""must_have"": ""schedule"", ""must_have"": ""roster""}",静态内容+粉丝参与度低,HIGH
76,Museum/Gallery,Storytelling + Feature-Rich,Minimalism + Motion-Driven,适合艺术的中性色+展览口音,优雅+最小的排版,虚拟游览+收藏展示,"{""must_have"": ""virtual-tour"", ""must_have"": ""exhibition-info""}",布局混乱+无法在线访问,HIGH
77,Theater/Cinema,Hero-Centric + Conversion,Dark Mode (OLED) + Motion-Driven,深色+聚光灯+金色,戏剧性+大胆的排版,选座+预告片揭晓,"{""must_have"": ""showtimes"", ""must_have"": ""seat-selection""}",糟糕的预订用户体验+没有预告片,HIGH
78,Language Learning App,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,俏皮的颜色+进度指示器,友好+清晰的排版,进度动画+成就解锁,"{""must_have"": ""progress-tracking"", ""must_have"": ""gamification""}",无聊的设计+没有动力,HIGH
79,Coding Bootcamp,Feature-Rich + Social Proof,Dark Mode (OLED) + Minimalism,代码编辑器颜色+品牌+成功,技术+清晰的排版,终端动画+职业成果揭示,"{""must_have"": ""curriculum"", ""must_have"": ""career-outcomes""}",仅亮色模式 + 隐藏结果,HIGH
80,Cybersecurity Platform,Trust & Authority + Real-Time,Cyberpunk UI + Dark Mode (OLED),矩阵绿 (#00FF00) + 深黑,技术+清晰的排版,威胁可视化+警报动画,"{""must_have"": ""real-time-monitoring"", ""must_have"": ""threat-display""}",亮色模式 + 较差的数据可视化,HIGH
81,Developer Tool / IDE,Minimal + Documentation,Dark Mode (OLED) + Minimalism,深色语法主题+蓝色焦点,等宽字体+功能排版,语法高亮+命令面板,"{""must_have"": ""keyboard-shortcuts"", ""must_have"": ""documentation""}",默认亮色模式 + 性能较慢,HIGH
82,Biotech / Life Sciences,Storytelling + Data,Glassmorphism + Clean Science,无菌白+DNA 蓝+生命绿,科学+清晰的排版,数据可视化+研究揭示,"{""must_have"": ""data-accuracy"", ""must_have"": ""clean-aesthetic""}",数据混乱+可信度差,HIGH
83,Space Tech / Aerospace,Immersive + Feature-Rich,Holographic/HUD + Dark Mode,深空黑+星空白+金属色,未来派+精确的排版,遥测动画 + 3D 渲染,"{""must_have"": ""high-tech-feel"", ""must_have"": ""precision-data""}",通用设计+无沉浸感,HIGH
84,Architecture / Interior,Portfolio + Hero-Centric,Exaggerated Minimalism + High Imagery,单色+金色点缀+高意象,建筑+优雅的排版,项目画廊 + 蓝图揭晓,"{""must_have"": ""high-res-images"", ""must_have"": ""project-portfolio""}",图像不佳+布局混乱,HIGH
85,Quantum Computing Interface,Immersive + Interactive,Holographic/HUD + Dark Mode,量子蓝(#00FFFF)+深黑,未来派+科学版式,概率可视化 + 量子位状态动画,"{""must_have"": ""complexity-visualization"", ""must_have"": ""scientific-credibility""}",通用技术设计+无可视化,HIGH
86,Biohacking / Longevity App,Data-Dense + Storytelling,Biomimetic/Organic 2.0 + Minimalism,细胞粉色/红色 + DNA 蓝色 + 白色,科学+清晰的排版,生物数据即 + 进度动画,"{""must_have"": ""data-privacy"", ""must_have"": ""scientific-credibility""}",通用健康应用程序+无隐私,HIGH
87,Autonomous Drone Fleet Manager,Real-Time + Feature-Rich,HUD/Sci-Fi FUI + Real-Time,战术绿+警戒红+地图暗,技术+功能排版,遥测动画+3D 空间感知,"{""must_have"": ""real-time-telemetry"", ""must_have"": ""safety-alerts""}",更新缓慢+空间可视化不佳,HIGH
88,Generative Art Platform,Showcase + Feature-Rich,Minimalism + Gen Z Chaos,中性 (#F5F5F5) + 用户内容,最小+以内容为中心的排版,画廊砖石+铸币动画,"{""must_have"": ""fast-loading"", ""must_have"": ""creator-attribution""}",重铬+加载缓慢,HIGH
89,Spatial Computing OS / App,Immersive + Interactive,Spatial UI (VisionOS) + Glassmorphism,磨砂玻璃+系统颜色+深度,空间+可读的排版,深度层次+注视交互,"{""must_have"": ""depth-hierarchy"", ""must_have"": ""environment-awareness""}",2D 设计+无空间深度,HIGH
90,Sustainable Energy / Climate Tech,Data + Trust,Organic Biophilic + E-Ink/Paper,大地绿+天蓝+太阳黄,清晰+信息丰富的排版,影响可视化 + 进度动画,"{""must_have"": ""data-transparency"", ""must_have"": ""impact-visualization""}",漂绿+无真实数据,HIGH
91,Personal Finance Tracker,Interactive Product Demo,Glassmorphism + Dark Mode (OLED),平静的蓝色+成功的绿色+警报的红色+图表强调,现代+层次清晰,背景模糊（10-20px）+半透明叠加,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_low_performance"": ""fallback-to-flat""}",纯白色背景,HIGH
92,Chat & Messaging App,Feature-Rich Showcase + Demo,Minimalism + Micro-interactions,品牌主色+气泡对比（发送/接收）+打字灰,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
93,Notes & Writing App,Minimal & Direct,Minimalism + Flat Design,干净的白色/奶油色+最小的口音+编辑器语法颜色,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
94,Habit Tracker,Social Proof-Focused + Demo,Claymorphism + Vibrant & Block-based,条纹暖色（琥珀色/橙色）+进步绿色+励志口音,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
95,Food Delivery / On-Demand,Hero-Centric Design + Feature-Rich,Vibrant & Block-based + Motion-Driven,开胃暖色（橙/红）+信赖蓝+地图点缀,精力充沛+大胆+大,滚动动画+视差+页面过渡,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",柔和的色彩+低能量,HIGH
96,Ride Hailing / Transportation,Conversion-Optimized + Demo,Minimalism + Glassmorphism,品牌主色+地图中性色+状态指示器颜色,专业+层次清晰,背景模糊（10-20px）+半透明叠加,"{""if_low_performance"": ""fallback-to-flat"", ""if_conversion_focused"": ""add-urgency-colors""}",过度装饰,HIGH
