No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
31,Interaction,Disabled States,All,清楚地指示非交互元素,降低不透明度并更改光标,混淆禁用状态和正常状态,opacity-50 cursor-not-allowed,Same style as enabled,Medium
32,Interaction,Loading Buttons,All,防止异步操作期间重复提交,禁用按钮并显示加载状态,处理过程中允许多次点击,disabled={loading} spinner,Button clickable while loading,High
33,Interaction,Error Feedback,All,用户需要知道何时出现故障,在问题附近显示清晰的错误消息,无反馈的静默失败,Red border + error message,No indication of error,High
34,Interaction,Success Feedback,All,向用户确认操作成功,显示成功消息或视觉变化,没有确认已完成的操作,Toast notification or checkmark,Action completes silently,Medium
35,Interaction,Confirmation Dialogs,All,防止意外破坏行为,删除前确认/不可逆操作,删除而不确认,Are you sure modal,Direct delete on click,High
36,Accessibility,Color Contrast,All,文本必须在背景下可读,普通文本的最小比例为 4.5:1,低对比度文本,#333 on white (7:1),#999 on white (2.8:1),High
37,Accessibility,Color Only,All,不要仅通过颜色传达信息,除了颜色之外还使用图标/文本,红色/绿色仅表示错误/成功,Red text + error icon,Red border only for error,High
38,Accessibility,Alt Text,All,图像需要替代文本,有意义的图像的描述性替代文本,alt 属性为空或缺失,alt='Dog playing in park',alt='' for content images,High
39,Accessibility,Heading Hierarchy,Web,屏幕阅读器使用标题进行导航,使用连续的标题级别 h1-h6,跳过标题级别或滥用样式,h1 then h2 then h3,h1 then h4,Medium
40,Accessibility,ARIA Labels,All,交互元素需要易于理解的名称,为仅图标按钮添加 aria-label,没有标签的图标按钮,aria-label='Close menu',<button><Icon/></button>,High
41,Accessibility,Keyboard Navigation,Web,所有功能均可通过键盘访问,Tab 键顺序与视觉顺序一致,键盘陷阱或不合逻辑的 Tab 键顺序,tabIndex for custom order,Unreachable elements,High
42,Accessibility,Screen Reader,All,大声朗读时内容应该有意义,正确使用语义 HTML 和 ARIA,没有语义的 Div soup,<nav> <main> <article>,<div> for everything,Medium
43,Accessibility,Form Labels,All,输入必须有关联的标签,使用标签来表示属性或换行输入,仅占位符输入,<label for='email'>,placeholder='Email' only,High
44,Accessibility,Error Messages,All,必须公布错误消息,使用 aria-live 或 role=alert 来处理错误,仅视觉错误指示,role='alert',Red border only,High
45,Accessibility,Skip Links,Web,允许键盘用户跳过导航,提供跳至主要内容链接,导航密集的页面上没有跳过链接,Skip to main content link,100 tabs to reach content,Medium
46,Performance,Image Optimization,All,大图片页面加载速度慢,使用适当的尺寸和格式 (WebP),未优化的全尺寸图像,srcset with multiple sizes,4000px image for 400px display,High
47,Performance,Lazy Loading,All,根据需要加载内容,延迟加载非首屏图像和内容,预先加载所有内容,loading='lazy',All images eager load,Medium
48,Performance,Code Splitting,Web,大捆绑包初始加载速度较慢,按路线/功能拆分代码,单个庞大的打包文件 (Bundle),dynamic import(),All code in main bundle,Medium
49,Performance,Caching,Web,重复访问应该很快,设置适当的缓存头,无缓存策略,Cache-Control headers,Every request hits server,Medium
50,Performance,Font Loading,Web,Web 字体可能会阻止渲染,使用字体显示交换或可选,字体加载期间文本不可见,font-display: swap,FOIT (Flash of Invisible Text),Medium
51,Performance,Third Party Scripts,Web,外部脚本可能会阻止渲染,异步/延迟加载非关键脚本,同步第三方脚本,async or defer attribute,<script src='...'> in head,Medium
52,Performance,Bundle Size,Web,大型 JavaScript 会减慢交互速度,监控并最小化捆绑包大小,忽略捆绑包大小的增长,Bundle analyzer,No size monitoring,Medium
53,Performance,Render Blocking,Web,CSS/JS 可以阻止第一次绘制,内联关键 CSS 推迟非关键,大型阻塞 CSS 文件,Critical CSS inline,All CSS in head,Medium
54,Forms,Input Labels,All,每个输入都需要一个可见的标签,始终在输入上方或旁边显示标签,占位符作为唯一标签,<label>Email</label><input>,placeholder='Email' only,High
55,Forms,Error Placement,All,错误应该出现在问题附近,在相关输入下方显示错误,表单顶部的单个错误消息,Error under each field,All errors at form top,Medium
56,Forms,Inline Validation,All,根据用户输入或模糊进行验证,验证大多数字段的模糊情况,仅在提交时验证,onBlur validation,Submit-only validation,Medium
57,Forms,Input Types,All,使用适当的输入类型,使用电子邮件、电话号码、网址等,一切皆可文本输入,type='email',type='text' for email,Medium
58,Forms,Autofill Support,Web,帮助浏览器正确自动填充,正确使用自动完成属性,阻止或忽略自动填充,autocomplete='email',autocomplete='off' everywhere,Medium
59,Forms,Required Indicators,All,清楚地标记必填字段,使用星号或（必需）文本,没有指示必填字段,* required indicator,Guess which are required,Medium
60,Forms,Password Visibility,All,让用户在输入时看到密码,切换显示/隐藏密码,没有可见性切换,Show/hide password button,Password always hidden,Medium
61,Forms,Submit Feedback,All,确认表单提交状态,显示加载然后成功/错误状态,提交后无反馈,Loading -> Success message,Button click with no response,High
62,Forms,Input Affordance,All,输入应该看起来是交互式的,使用不同的输入样式,看起来像纯文本的输入,Border/background on inputs,Borderless inputs,Medium
63,Forms,Mobile Keyboards,Mobile,显示适合输入类型的键盘,使用 inputmode 属性,所有输入的默认键盘,inputmode='numeric',Text keyboard for numbers,Medium
64,Responsive,Mobile First,Web,针对移动设备进行设计，然后针对更大的设备进行增强,从移动样式开始，然后添加断点,桌面优先导致移动问题,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium
65,Responsive,Breakpoint Testing,Web,在所有常见屏幕尺寸上进行测试,测试于 320 375 414 768 1024 1440,仅在您的设备上进行测试,Multiple device testing,Single device development,Medium
66,Responsive,Touch Friendly,Web,移动布局需要触摸大小的目标,增加移动设备上的触摸目标,手机上同样的小按钮,Larger buttons on mobile,Desktop-sized targets on mobile,High
67,Responsive,Readable Font Size,All,文本必须在所有设备上可读,移动设备上的正文至少为 16px,手机上的小文字,text-base or larger,text-xs for body text,High
68,Responsive,Viewport Meta,Web,设置移动设备的视口,使用宽度=设备宽度初始比例=1,视口缺失或不正确,<meta name='viewport'...>,No viewport meta tag,High
69,Responsive,Horizontal Scroll,Web,避免水平滚动,确保内容适合视口宽度,内容比视口更宽,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High
70,Responsive,Image Scaling,Web,图像应随容器缩放,在图像上使用 max-width: 100%,固定宽度图像溢出,max-w-full h-auto,width='800' fixed,Medium
71,Responsive,Table Handling,Web,表格在移动设备上可能会溢出,使用水平滚动或卡片布局,宽表格打破布局,overflow-x-auto wrapper,Table overflows viewport,Medium
72,Typography,Line Height,All,适当的行高可提高可读性,正文使用 1.5-1.75,行高狭窄或过高,leading-relaxed (1.625),leading-none (1),Medium
73,Typography,Line Length,Web,长行很难阅读,每行限制 65-75 个字符,大屏幕上的全角文本,max-w-prose,Full viewport width text,Medium
74,Typography,Font Size Scale,All,一致的类型层次结构有助于扫描,使用一致的模块化规模,随机字体大小,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium
75,Typography,Font Loading,Web,字体应该在没有布局变化的情况下加载,使用后备字体预留空间,字体加载时布局发生变化,font-display: swap + similar fallback,No fallback font,Medium
76,Typography,Contrast Readability,All,正文需要良好的对比度,在浅色背景上使用深色文本,灰色背景上的灰色文本,text-gray-900 on white,text-gray-400 on gray-100,High
77,Typography,Heading Clarity,All,标题应该从正文中脱颖而出,明显的尺寸/重量差异,与正文类似的标题,Bold + larger size,Same size as body,Medium
78,Feedback,Loading Indicators,All,等待期间显示系统状态,显示操作的微调器/骨架 > 300 毫秒,加载时无反馈,Skeleton or spinner,Frozen UI,High
79,Feedback,Empty States,All,当不存在内容时引导用户,显示有用的消息和操作,空白的屏幕,No items yet. Create one!,Empty white space,Medium
80,Feedback,Error Recovery,All,帮助用户从错误中恢复,提供明确的后续步骤,错误无恢复路径,Try again button + help link,Error message only,Medium
81,Feedback,Progress Indicators,All,显示多步骤流程的进度,步骤指示器或进度条,没有进展迹象,Step 2 of 4 indicator,No step information,Medium
82,Feedback,Toast Notifications,All,非关键信息的瞬态消息,3-5 秒后自动关闭,无法自动关闭的 Toast 提示,Auto-dismiss toast,Persistent toast,Medium
83,Feedback,Confirmation Messages,All,确认操作成功,简短的成功消息,沉默的成功,Saved successfully toast,No confirmation,Medium
84,Content,Truncation,All,优雅地处理长内容,用省略号截断并扩展选项,溢出或损坏的布局,line-clamp-2 with expand,Overflow or cut off,Medium
85,Content,Date Formatting,All,使用适合区域设置的日期格式,使用相对或区域设置日期,日期格式不明确,2 hours ago or locale format,01/02/03,Low
86,Content,Number Formatting,All,设置大数字的格式以提高可读性,使用千位分隔符或缩写,长无格式数字,"1.2K or 1,234",1234567,Low
87,Content,Placeholder Content,All,在开发过程中显示真实的占位符,使用真实的样本数据,Lorem ipsum 无处不在,Real sample content,Lorem ipsum,Low
88,Onboarding,User Freedom,All,用户应该能够跳过教程,提供“跳过”和“后退”按钮,强制线性不可跳过的游览,Skip Tutorial button,Locked overlay until finished,Medium
89,Search,Autocomplete,Web,帮助用户更快地找到结果,将预测显示为用户输入,需要完整输入并输入,Debounced fetch + dropdown,No suggestions,Medium
90,Search,No Results,Web,死胡同让用户感到沮丧,显示“无结果”和建议,空白屏幕或“0 个结果”,Try searching for X instead,No results found.,Medium
91,Data Entry,Bulk Actions,Web,逐一编辑很繁琐,允许多选和批量编辑,仅单行操作,Checkbox column + Action bar,Repeated actions per row,Low
92,AI Interaction,Disclaimer,All,用户需要知道他们与人工智能交谈,清晰地标记人工智能生成的内容,将人工智能呈现为人类,AI Assistant label,Fake human name without label,High
93,AI Interaction,Streaming,All,等待全文很慢,按令牌流式传输文本响应令牌,显示加载旋转超过 10 秒,Typewriter effect,Spinner until 100% complete,Medium
94,Spatial UI,Gaze Hover,VisionOS,元素应在捏合前响应眼动追踪,缩放/突出显示外观元素,静态元件直到捏紧,hoverEffect(),onTap only,High
95,Spatial UI,Depth Layering,VisionOS,UI 需要 Z 深度来将内容与环境分开,使用玻璃材质和 z 轴偏移,平坦的不透明面板阻挡视线,.glassBackgroundEffect(),bg-white,Medium
96,Sustainability,Auto-Play Video,Web,视频消耗大量数据和能源,点击播放或离屏时暂停,自动循环播放高分辨率视频,playsInline muted preload='none',autoplay loop,Medium
97,Sustainability,Asset Weight,Web,大量 3D/图像资产增加了碳足迹,压缩和延迟加载 3D 模型,加载 50MB 纹理,Draco compression,Raw .obj files,Medium
98,AI Interaction,Feedback Loop,All,AI 需要用户反馈来改进,点赞/点踩或“重新生成”,仅静态输出,Feedback component,Read-only text,Low
99,Accessibility,Motion Sensitivity,All,视差/滚动劫持会导致恶心,尊重优先于减少运动,强制滚动效果,@media (prefers-reduced-motion),ScrollTrigger.create(),High
