No,Data Type,Keywords,Best Chart Type,Secondary Options,When to Use,When NOT to Use,Data Volume Threshold,Color Guidance,Accessibility Grade,Accessibility Notes,A11y Fallback,Library Recommendation,Interactive Level
11,Hierarchical / Nested Data,"hierarchy, nested, treemap, parent, children, breakdown, drill",Treemap,"Sunburst, Nested Donut, Icicle",显示层次结构内的大小关系；比例结构概览（例如预算细目）,层次结构深度 > 3 级（太复杂而难以阅读）；用户需要精确比较同级值,<200 nodes: SVG; 200–1000: Canvas; >1000: paginate or pre-filter before rendering,父节点：不同的色调。儿童：相同色调的较浅色调。白色分隔边框：2–3px,C,基线可达性差。始终提供替代表作为主视图。标记所有大区域。,可折叠树形表作为主视图；树状图仅作为补充视觉效果,"D3.js, Recharts, ApexCharts",Hover + Drilldown
12,Flow / Process Data,"flow, process, sankey, distribution, source, target, transfer",Sankey Diagram,"Alluvial, Chord Diagram",显示数量如何在节点之间流动；多源多目标分发,流向形成循环（使用网络图）；少于 3 个源-目标对；移动主要环境,<50 flows: SVG; ≥50: Canvas; >200 flows: aggregate minor flows into 'Other' node,从源颜色到目标颜色的渐变。流动不透明度：0.4–0.6。节点标签始终可见,C,结构流程图不能仅通过颜色来传达。提供流表。避免在移动设备上。,流量表（源→目标→值）；带有制表位的键盘可遍历节点列表,"D3.js (d3-sankey), Plotly",Hover + Drilldown
13,Cumulative Changes,"waterfall, cumulative, variance, incremental, bridge, delta",Waterfall Chart,"Stacked Bar, Cascade",显示各个正/负分量如何合计为最终总计（例如损益、预算差异）,变化不是累加的；超过 12 条（可读性中断）；观众期望一个简单的总计,4–12 bars optimal; beyond 12 aggregate minor items into a single 'Other' bar,增加：#4CAF50。减少：#F44336。起始总数：#2196F3。最终总数：#0D47A1。运行总计线：虚线,AA,每个条的颜色+方向箭头图标（不仅仅是颜色）。每个栏上都有标签。,带有运行总计列的表；每行的方向箭头图标,"ApexCharts, Highcharts, Plotly",Hover
14,Multi-Variable Comparison,"radar, spider, multi-variable, attributes, dimensions, comparison",Radar / Spider Chart,"Parallel Coordinates, Grouped Bar",比较同一固定属性集的多个实体（例如，产品功能比较）,轴 > 8（不可读）；值需要精确比较（使用分组条）；不熟悉雷达图的观众,2–3 datasets maximum per chart; 5–8 axes; beyond 8 axes switch to parallel coordinates,单个数据集：#0080FF，填充率为 20%。多重：具有 30% 填充的不同色调。边框：完全不透明,B,将轴限制为 5-8 个。始终提供分组条形图替代方案以实现精确读取。,分组条形图作为强制性替代方案；包括原始数据表,"Chart.js, Recharts, ApexCharts",Hover + Toggle
15,Stock / Trading OHLC,"stock, trading, ohlc, candlestick, finance, price, volume",Candlestick Chart,"OHLC Bar, Heikin-Ashi",具有开盘/最高/最低/收盘数据的金融时间序列；仅交易或投资产品上下文,非金融受众；没有可用的 OHLC 数据（使用折线图）；可访问性优先上下文,Real-time: Canvas required. Historical: paginate by time range. Max 500 candles visible at once,看涨：#26A69A。看跌：#EF5350。音量条：下方不透明度为 40%。 OHLC 风格的主体填充与空心,B,提供 OHLC 数据表。色盲：使用填充与轮廓模式（看涨 = 填充，看跌 = 空心）。,带有可排序列的 OHLC 数据表；数字摘要面板（每日变化％）,"Lightweight Charts (TradingView), ApexCharts",Real-time + Hover + Zoom
16,Relationship / Connection Data,"network, graph, nodes, edges, connections, relationships, force",Network Graph,"Hierarchical Tree, Adjacency Matrix",映射实体之间的连接；网络拓扑或社交图探索上下文,节点数 > 500，未预先应用集群；用户需要精确的连接数；移动环境,≤100 nodes: SVG; 101–500: Canvas; >500: must apply clustering/LOD before rendering,节点类型：分类颜色。边缘：#90A4AE，不透明度为 60%。突出显示路径：#F59E0B,D,没有其他选择，基本上无法实现。切勿用作唯一代表。始终提供替代列表。,邻接列表表（节点 A→节点 B→权重）；当结构允许时分层树视图,"D3.js (d3-force), Vis.js, Cytoscape.js",Drilldown + Hover + Drag
17,Distribution / Statistical,"distribution, statistical, spread, median, outlier, quartile, boxplot",Box Plot,"Violin Plot, Beeswarm",显示数据集的分布、中位数和异常值；比较多个组的分布,每组少于 20 个数据点（分布没有意义）；不熟悉统计图表的观众,Any sample size; aggregated representation so rendering is ⚡ Excellent at any volume,框填充：#BBDEFB。边框：#1976D2。中线：#D32F2F 粗体。离群点：#F44336,AA,包括统计汇总表。在图表副标题中注释异常值计数。,统计汇总表（最小值/Q1/中值/Q3/最大值/平均值）；异常值计数注释,"Plotly, D3.js, Chart.js (plugin)",Hover
18,Performance vs Target (Compact),"bullet, compact, kpi, dashboard, target, benchmark, range",Bullet Chart,"Gauge, Progress Bar",并排显示多个 KPI 的仪表板；仪表太大的空间受限环境,有重点的单一 KPI（使用量规）；数据没有明确的目标范围；少于 3 个 KPI,Ideal for 3–10 bullet charts in a grid; scales to any count efficiently,定性范围：#FFCDD2 / #FFF9C4 / #C8E6C9（坏/好/好）。性能栏：#1976D2。目标：黑色 3px 标记,AAA,所有值始终以文本形式可见。颜色范围用文本阈值标记，而不仅仅是颜色。,数值始终可见（不仅仅是悬停）；用阈值文本标记的颜色范围,"D3.js, Plotly, Custom SVG",Hover
19,Proportional / Percentage,"waffle, percentage, proportion, progress, filled, grid",Waffle Chart,"Pictogram, Stacked Bar 100%",显示填充了整体的哪一部分；以具有视觉吸引力且易于理解的形式呈现的进度百分比,超过 5 个类别（使用堆叠条）；准确的数值比视觉比例更重要；空间非常狭小,10×10 grid standard (100 cells); for > 5 categories switch to stacked 100% bar,最多 3–5 个类别单元格之间有 2–3px 的间隙。每个类别都有一个独特的可访问颜色对,AA,比馅饼的可访问性更好。百分比文本标签始终可见。每个单元格都有 aria 标签。,百分比文本始终可见；用 aria-label 值标记的网格单元；提供图例,"D3.js, React-Waffle, Custom CSS Grid",Hover
20,Hierarchical Proportional,"sunburst, hierarchy, nested, proportion, radial, circle",Sunburst Chart,"Treemap, Icicle, Circle Packing",探索层次结构和相对规模都很重要的嵌套比例（例如，组织支出细分）,超过 3 个层级（外环变得不可读）；精确性比概述更重要；移动,<100 nodes: SVG; 100–500: Canvas; >500: filter to top N before rendering,从中心到外部：色调由深到浅。每个级别轻 15-20%。各扇区之间的对比边界,C,超过 2 级的可达性较差。任何生产用途所需的强制表替代方案。,带百分比的可折叠缩进列表；当前向下钻取状态的面包屑路径,"D3.js (d3-hierarchy), Recharts, ApexCharts",Drilldown + Hover
21,Root Cause Analysis,"root cause, decomposition, tree, hierarchy, drill-down, ai-split, attribution",Decomposition Tree,"Decision Tree, Flow Chart",将指标分解为影响因素； AI 辅助分析或 BI 钻取场景,没有明确的亲子因果关系；观众期待的是总结而不是探索,Up to 5 levels deep; limit visible nodes to 20 per level for readability; lazy-load deeper levels,积极影响节点：#2563EB。负面影响节点：#EF4444。中性连接器：#94A3B8,AA,可通过键盘导航展开/折叠。屏幕阅读器宣布节点价值和贡献百分比。,键盘展开/折叠树；屏幕阅读器宣布节点标签 + 值 + % 影响,"Power BI (native), React-Flow, Custom D3.js",Drill + Expand
22,3D Spatial Data,"3d, spatial, immersive, terrain, molecular, volumetric, point-cloud",3D Scatter / Surface Plot,"Volumetric Rendering, Point Cloud",Z 轴携带无法以 2D 表达的基本信息的科学/工程环境,2D 投影传达了同样的见解；移动环境；需要无障碍环境；标准业务仪表板,"WebGL required. Deck.gl: up to 1M points. Three.js: LOD required beyond 50,000 pts",深度线索：照明和阴影。 Z 轴：颜色渐变（冷→暖）。透明重叠：不透明度 0.4,D,3D 空间图表基本上是无障碍支持差 / 体验不友好的。不得在任何产品 UI 中用作主要图表类型。,强制 2D 投影视图+数据表；不要在产品 UI 中用作主要图表类型,"Three.js, Deck.gl, Plotly 3D",Rotate + Zoom + VR
23,Real-Time Streaming,"streaming, real-time, ticker, live, velocity, pulse, monitoring",Streaming Area Chart,"Ticker Tape, Moving Gauge",实时监控仪表板； IoT/ops 数据更新频率≥1 Hz；用户需求当前值一目了然,更新频率 < 1/min（使用定期刷新折线图）；不支持简化动作的闪烁内容,Canvas/WebGL required. Buffer last 60–300s of data. Downsample older data on scroll,当前脉冲：#00FF00（深色主题）或#0080FF（浅色主题）。历史：褪色不透明。网格：深色背景,B,需要暂停/恢复控制。当前值作为大型可见文本 KPI。尊重更喜欢减少动作。,需要暂停/恢复按钮；当前值显示为大文本 KPI； Preferred-reduced-motion：冻结动画,"Smoothed D3.js, CanvasJS",Real-time + Pause + Zoom
24,Sentiment / Emotion,"sentiment, emotion, nlp, opinion, feeling, text-analysis",Word Cloud with Sentiment,"Sentiment Arc, Radar Chart",NLP 输出可视化；文本语料情感的探索性分析；频率加权关键词概述,精确的值很重要（字长本质上是不精确的）；屏幕阅读器上下文；语料库 < 50 项,50–5000 terms optimal. Beyond 5000: apply top-N filtering before render. Avoid on mobile,正面：#22C55E。阴性：#EF4444。中性：#94A3B8。字大小映射到频率,C,文字云无法满足屏幕阅读器的需求。切勿用作 NLP 分析的唯一输出。始终与列表视图配对。,可按频率排序的列表视图，带有情感标签列；词云仅作为补充,"D3-cloud, Highcharts, Nivo",Hover + Filter
25,Process Mining,"process, mining, variants, path, bottleneck, log, event",Process Map / Graph,"Directed Acyclic Graph (DAG), Petri Net",分析事件日志以可视化实际流程；识别运营/产品渠道中的瓶颈和偏差,没有可用的事件日志数据；观众期望静态流程图（使用图表工具）；节点数 > 100，无预过滤,<30 nodes: SVG; 30–100: Canvas; >100: apply variant filtering (top 80% of cases) before rendering,快乐之路：#10B981 粗线。偏差：#F59E0B 细线。瓶颈节点：#EF4444 填充,B,复杂的图表很难导航。提供路径摘要文本。突出显示前 3 个瓶颈作为注释。,路径汇总表（变体→频率→平均持续时间）；文本注释面板的三大瓶颈,"React-Flow, Cytoscape.js, Recharts",Drag + Node-Click
