No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
27,Thai Modern,Sans + Sans,Noto Sans Thai,Noto Sans Thai,"thai, modern, readable, clean, multilingual, accessible",泰国景点、东南亚、旅游、泰国餐厅,https://fonts.google.com/share?selection.family=Noto+Sans+Thai:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+Thai:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans Thai', 'sans-serif'] }",干净的泰语排版。优秀的可读性。
28,Hebrew Modern,Sans + Sans,Noto Sans Hebrew,Noto Sans Hebrew,"hebrew, modern, RTL, clean, professional, readable",希伯来语网站、以色列市场、犹太内容、双语网站,https://fonts.google.com/share?selection.family=Noto+Sans+Hebrew:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Noto+Sans+Hebrew:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Noto Sans Hebrew', 'sans-serif'] }",RTL 支持。干净的现代希伯来语排版。
29,Legal Professional,Serif + Sans,EB Garamond,Lato,"legal, professional, traditional, trustworthy, formal, authoritative",律师事务所、法律服务、合同、正式文件、政府,https://fonts.google.com/share?selection.family=EB+Garamond:wght@400;500;600;700|Lato:wght@300;400;700,@import url('https://fonts.googleapis.com/css2?family=EB+Garamond:wght@400;500;600;700&family=Lato:wght@300;400;700&display=swap');,"fontFamily: { serif: ['EB Garamond', 'serif'], sans: ['Lato', 'sans-serif'] }",EB Garamond 的权威。 Lato 用于干净的正文。
30,Medical Clean,Sans + Sans,Figtree,Noto Sans,"medical, clean, accessible, professional, healthcare, trustworthy",医疗保健、医疗诊所、制药、健康应用程序、无障碍,https://fonts.google.com/share?selection.family=Figtree:wght@300;400;500;600;700|Noto+Sans:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Figtree:wght@300;400;500;600;700&family=Noto+Sans:wght@300;400;500;700&display=swap');,"fontFamily: { heading: ['Figtree', 'sans-serif'], body: ['Noto Sans', 'sans-serif'] }",适用于医疗环境的干净、易于使用的字体。
31,Financial Trust,Sans + Sans,IBM Plex Sans,IBM Plex Sans,"financial, trustworthy, professional, corporate, banking, serious",银行、金融、保险、投资、金融科技、企业,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['IBM Plex Sans', 'sans-serif'] }",IBM Plex 传达了信任和专业精神。非常适合数据。
32,Real Estate Luxury,Serif + Sans,Cinzel,Josefin Sans,"real estate, luxury, elegant, sophisticated, property, premium",房地产、豪宅、建筑、室内设计,https://fonts.google.com/share?selection.family=Cinzel:wght@400;500;600;700|Josefin+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Cinzel:wght@400;500;600;700&family=Josefin+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Cinzel', 'serif'], sans: ['Josefin Sans', 'sans-serif'] }",Cinzel 的优雅成为头条新闻。 Josefin 代表现代身体。
33,Restaurant Menu,Serif + Sans,Playfair Display SC,Karla,"restaurant, menu, culinary, elegant, foodie, hospitality",餐厅、咖啡馆、美食博客、烹饪、酒店业,https://fonts.google.com/share?selection.family=Karla:wght@300;400;500;600;700|Playfair+Display+SC:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Karla:wght@300;400;500;600;700&family=Playfair+Display+SC:wght@400;700&display=swap');,"fontFamily: { display: ['Playfair Display SC', 'serif'], sans: ['Karla', 'sans-serif'] }",菜单标题采用小型大写字母 Playfair。卡拉的描述。
34,Art Deco,Display + Sans,Poiret One,Didact Gothic,"art deco, vintage, 1920s, elegant, decorative, gatsby",复古活动、装饰艺术主题、豪华酒店、经典鸡尾酒,https://fonts.google.com/share?selection.family=Didact+Gothic|Poiret+One,@import url('https://fonts.googleapis.com/css2?family=Didact+Gothic&family=Poiret+One&display=swap');,"fontFamily: { display: ['Poiret One', 'sans-serif'], sans: ['Didact Gothic', 'sans-serif'] }",波烈一号仅用于装饰艺术头条新闻。身体的教诲者。
35,Magazine Style,Serif + Sans,Libre Bodoni,Public Sans,"magazine, editorial, publishing, refined, journalism, print",杂志、在线出版物、编辑内容、新闻,https://fonts.google.com/share?selection.family=Libre+Bodoni:wght@400;500;600;700|Public+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Libre+Bodoni:wght@400;500;600;700&family=Public+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Libre Bodoni', 'serif'], sans: ['Public Sans', 'sans-serif'] }",博多尼的编辑优雅。 Public Sans 用于干净的 UI。
36,Crypto/Web3,Sans + Sans,Orbitron,Exo 2,"crypto, web3, futuristic, tech, blockchain, digital",加密平台、NFT、区块链、web3、未来科技,https://fonts.google.com/share?selection.family=Exo+2:wght@300;400;500;600;700|Orbitron:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Exo+2:wght@300;400;500;600;700&family=Orbitron:wght@400;500;600;700&display=swap');,"fontFamily: { display: ['Orbitron', 'sans-serif'], body: ['Exo 2', 'sans-serif'] }",Orbitron 用于未来派标头。 Exo 2 用于可读正文。
37,Gaming Bold,Display + Sans,Russo One,Chakra Petch,"gaming, bold, action, esports, competitive, energetic",游戏、电子竞技、动作游戏、竞技体育、娱乐,https://fonts.google.com/share?selection.family=Chakra+Petch:wght@300;400;500;600;700|Russo+One,@import url('https://fonts.googleapis.com/css2?family=Chakra+Petch:wght@300;400;500;600;700&family=Russo+One&display=swap');,"fontFamily: { display: ['Russo One', 'sans-serif'], body: ['Chakra Petch', 'sans-serif'] }",俄罗斯一号的影响力。 Chakra Petch 用于技术正文。
38,Indie/Craft,Display + Sans,Amatic SC,Cabin,"indie, craft, handmade, artisan, organic, creative",工艺品牌、独立产品、工匠、手工制作、有机产品,https://fonts.google.com/share?selection.family=Amatic+SC:wght@400;700|Cabin:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Amatic+SC:wght@400;700&family=Cabin:wght@400;500;600;700&display=swap');,"fontFamily: { display: ['Amatic SC', 'sans-serif'], sans: ['Cabin', 'sans-serif'] }",Amatic 带来手写感觉。可读主体的小屋。
39,Startup Bold,Sans + Sans,Clash Display,Satoshi,"startup, bold, modern, innovative, confident, dynamic",初创公司、融资演讲稿、产品发布、大胆品牌,https://fonts.google.com/share?selection.family=Outfit:wght@400;500;600;700|Rubik:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@400;500;600;700&family=Rubik:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Rubik', 'sans-serif'] }",注意：Fontshare 上的显示冲突。Outfit 作为谷歌的替代品。
40,E-commerce Clean,Sans + Sans,Rubik,Nunito Sans,"ecommerce, clean, shopping, product, retail, conversion",电子商务、在线商店、产品页面、零售、购物,https://fonts.google.com/share?selection.family=Nunito+Sans:wght@300;400;500;600;700|Rubik:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Nunito+Sans:wght@300;400;500;600;700&family=Rubik:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Rubik', 'sans-serif'], body: ['Nunito Sans', 'sans-serif'] }",干净易读的字体非常适合产品描述。
41,Academic/Research,Serif + Sans,Crimson Pro,Atkinson Hyperlegible,"academic, research, scholarly, accessible, readable, educational",大学、研究论文、学术期刊、教育,https://fonts.google.com/share?selection.family=Atkinson+Hyperlegible:wght@400;700|Crimson+Pro:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;700&family=Crimson+Pro:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Crimson Pro', 'serif'], sans: ['Atkinson Hyperlegible', 'sans-serif'] }",深红色为学术头条新闻。阿特金森的无障碍。
42,Dashboard Data,Mono + Sans,Fira Code,Fira Sans,"dashboard, data, analytics, code, technical, precise",仪表板、分析、数据可视化、管理面板,https://fonts.google.com/share?selection.family=Fira+Code:wght@400;500;600;700|Fira+Sans:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fira+Code:wght@400;500;600;700&family=Fira+Sans:wght@300;400;500;600;700&display=swap');,"fontFamily: { mono: ['Fira Code', 'monospace'], sans: ['Fira Sans', 'sans-serif'] }",费拉家族的凝聚力。数据用代码，标签用 Sans。
43,Music/Entertainment,Display + Sans,Righteous,Poppins,"music, entertainment, fun, energetic, bold, performance",音乐平台、娱乐、活动、节日、表演者,https://fonts.google.com/share?selection.family=Poppins:wght@300;400;500;600;700|Righteous,@import url('https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500;600;700&family=Righteous&display=swap');,"fontFamily: { display: ['Righteous', 'sans-serif'], sans: ['Poppins', 'sans-serif'] }",正义的大胆娱乐标题。 Poppins 的身体。
44,Minimalist Portfolio,Sans + Sans,Archivo,Space Grotesk,"minimal, portfolio, designer, creative, clean, artistic",设计作品集、创意专业人士、简约品牌,https://fonts.google.com/share?selection.family=Archivo:wght@300;400;500;600;700|Space+Grotesk:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;500;600;700&family=Space+Grotesk:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['Archivo', 'sans-serif'] }",Space Grotesk 用于独特的标题。 Archivo 用于清洁身体。
45,Kids/Education,Display + Sans,Baloo 2,Comic Neue,"kids, education, playful, friendly, colorful, learning",儿童应用、教育游戏、适合儿童的内容,https://fonts.google.com/share?selection.family=Baloo+2:wght@400;500;600;700|Comic+Neue:wght@300;400;700,@import url('https://fonts.googleapis.com/css2?family=Baloo+2:wght@400;500;600;700&family=Comic+Neue:wght@300;400;700&display=swap');,"fontFamily: { display: ['Baloo 2', 'sans-serif'], sans: ['Comic Neue', 'sans-serif'] }",适合儿童的有趣、俏皮的字体。 Comic Neue 是一种可读的漫画风格。
46,Wedding/Romance,Script + Serif,Great Vibes,Cormorant Infant,"wedding, romance, elegant, script, invitation, feminine",婚礼网站、请柬、浪漫品牌、新娘,https://fonts.google.com/share?selection.family=Cormorant+Infant:wght@300;400;500;600;700|Great+Vibes,@import url('https://fonts.googleapis.com/css2?family=Cormorant+Infant:wght@300;400;500;600;700&family=Great+Vibes&display=swap');,"fontFamily: { script: ['Great Vibes', 'cursive'], serif: ['Cormorant Infant', 'serif'] }",优雅的氛围营造出美妙的氛围。可读文本的鸬鹚。
47,Science/Tech,Sans + Sans,Exo,Roboto Mono,"science, technology, research, data, futuristic, precise",科学、研究、技术文档、数据密集型网站,https://fonts.google.com/share?selection.family=Exo:wght@300;400;500;600;700|Roboto+Mono:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Exo:wght@300;400;500;600;700&family=Roboto+Mono:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Exo', 'sans-serif'], mono: ['Roboto Mono', 'monospace'] }",Exo 具有现代科技感。 Roboto Mono 用于代码/数据。
48,Accessibility First,Sans + Sans,Atkinson Hyperlegible,Atkinson Hyperlegible,"accessible, readable, inclusive, WCAG, dyslexia-friendly, clear",无障碍关键站点、政府、医疗保健、包容性设计,https://fonts.google.com/share?selection.family=Atkinson+Hyperlegible:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;700&display=swap');,"fontFamily: { sans: ['Atkinson Hyperlegible', 'sans-serif'] }",专为最大程度的易读性而设计。非常适合可访问性。
49,Sports/Fitness,Sans + Sans,Barlow Condensed,Barlow,"sports, fitness, athletic, energetic, condensed, action",体育、健身、健身房、运动品牌、竞赛,https://fonts.google.com/share?selection.family=Barlow+Condensed:wght@400;500;600;700|Barlow:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@400;500;600;700&family=Barlow:wght@300;400;500;600;700&display=swap');,"fontFamily: { display: ['Barlow Condensed', 'sans-serif'], body: ['Barlow', 'sans-serif'] }",浓缩为具有影响力的头条新闻。身体的常规巴洛。
50,Luxury Minimalist,Serif + Sans,Bodoni Moda,Jost,"luxury, minimalist, high-end, sophisticated, refined, premium",奢华简约品牌、高端时尚、优质产品,https://fonts.google.com/share?selection.family=Bodoni+Moda:wght@400;500;600;700|Jost:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bodoni+Moda:wght@400;500;600;700&family=Jost:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Bodoni Moda', 'serif'], sans: ['Jost', 'sans-serif'] }",Bodoni 的高对比优雅。 Jost 为几何体。
51,Tech/HUD Mono,Mono + Mono,Share Tech Mono,Fira Code,"tech, futuristic, hud, sci-fi, data, monospaced, precise",科幻界面、开发者工具、网络安全、仪表板,https://fonts.google.com/share?selection.family=Fira+Code:wght@300;400;500;600;700|Share+Tech+Mono,@import url('https://fonts.googleapis.com/css2?family=Fira+Code:wght@300;400;500;600;700&family=Share+Tech+Mono&display=swap');,"fontFamily: { hud: ['Share Tech Mono', 'monospace'], code: ['Fira Code', 'monospace'] }",Share Tech Mono 具有经典的科幻外观。
52,Pixel Retro,Display + Sans,Press Start 2P,VT323,"pixel, retro, gaming, 8-bit, nostalgic, arcade",像素艺术游戏、复古网站、创意作品集,https://fonts.google.com/share?selection.family=Press+Start+2P|VT323,@import url('https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap');,"fontFamily: { pixel: ['Press Start 2P', 'cursive'], terminal: ['VT323', 'monospace'] }",按开始 2P 非常宽/大。 VT323 更适合正文。
